text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
يوم الاثنين سابع عشر جمادى ويوم الخميس العشرون من جمادى الأولى من سنة إحدى وستين وخمس ماية ,17- 20,Yawm al-khamis,5.0,561,"['يوم', 'الاثنين', 'سابع', 'عشر', 'جمادى', 'ويوم', 'الخميس', 'العشرون', 'من', 'جمادى', 'الاولى', 'من', 'سنة', 'احدى', 'وستين', 'وخمس', 'ماية']",,True,True,25.0,5,561.0,"<re.Match object; span=(0, 91), match=' يوم الاثنين سابع عشر جمادى ويوم الخميس العشرون م>"
مستهل ذي القعدة سنة اثنتين وسبعين [وخمس] مائة,1-3 ,Yawm al-juma,11.0,572,"['مستهل', 'ذي', 'القعدة', 'سنة', 'اثنتين', 'وسبعين', 'وخمس', 'مائة']",,True,True,,11,572.0,"<re.Match object; span=(0, 44), match=' مستهل ذي القعدة سنة اثنتين وسبعين وخمس مائة'>"
العشر الأخير من جمادى الآخر[ة] سنة اثنتين وعشرين وستماية,20-30,,6.0,622,"['العشر', 'الاخير', 'من', 'جمادى', 'الاخرة', 'سنة', 'اثنتين', 'وعشرين', 'وستماية']",,True,True,,6,622.0,"<re.Match object; span=(0, 55), match=' العشر الاخير من جمادى الاخرة سنة اثنتين وعشرين و>"
 يوم السبت سلخ جمادى الأولى عام أحد وثمانين وستمائة,27-30,Yawm al-sabt,5.0,681,"['يوم', 'السبت', 'سلخ', 'جمادى', 'الاولى', 'عام', 'احد', 'وثمانين', 'وستمائة']",,True,True,,5,681.0,"<re.Match object; span=(0, 51), match=' يوم السبت سلخ جمادى الاولى عام احد وثمانين وستما>"
 سلخ محرم سنة أربع وعشرين وسبعماية,27-30,,1.0,724,"['سلخ', 'محرم', 'سنة', 'اربع', 'وعشرين', 'وسبعماية']",,True,True,,1,724.0,"<re.Match object; span=(0, 34), match=' سلخ محرم سنة اربع وعشرين وسبعماية'>"
يوم السبت سلخ رجب الحرام من سنة ثمان وثمانين وتسع مائة,27- 30,Yawm al-sabt,7.0,988,"['يوم', 'السبت', 'سلخ', 'رجب', 'الحرام', 'من', 'سنة', 'ثمان', 'وثمانين', 'وتسع', 'مائة']",,False,True,,,988.0,"<re.Match object; span=(0, 55), match=' يوم السبت سلخ رجب الحرام من سنة ثمان وثمانين وتس>"
في أواخر شهر رجب وأوائل شهر شعبان المكرم كلاهما من شهور سنة أربع وثلاثين وثمان مائة,1-5,,8.0,834,"['في', 'اواخر', 'شهر', 'رجب', 'واوائل', 'شهر', 'شعبان', 'المكرم', 'كلاهما', 'من', 'شهور', 'سنة', 'اربع', 'وثلاثين', 'وثمان', 'مائة']",,False,True,,,834.0,"<re.Match object; span=(0, 84), match=' في اواخر شهر رجب واوائل شهر شعبان المكرم كلاهما >"
 يوم السبت في العشر الأوسط من جمادى الآخرة من سنة إحدى وستمائة,11- 20,Yawm al-sabt,6.0,601,"['يوم', 'السبت', 'في', 'العشر', 'الاوسط', 'من', 'جمادى', 'الاخرة', 'من', 'سنة', 'احدى', 'وستمائة']",,True,True,,6,601.0,"<re.Match object; span=(0, 62), match=' يوم السبت في العشر الاوسط من جمادى الاخرة من سنة>"
في العشر الأوسط من جمادى [الآخرة من] سنة إحدى وستمائة,11-20,,6.0,601,"['في', 'العشر', 'الاوسط', 'من', 'جمادى', 'الاخرة', 'من', 'سنة', 'احدى', 'وستمائة']",,True,True,,6,601.0,"<re.Match object; span=(0, 52), match=' في العشر الاوسط من جمادى الاخرة من سنة احدى وستم>"
في يوم السبت في العشر الأوسط من جمادى الآخرة سنة إحدى وستمائة,11- 20,Yawm al-sabt,6.0,601,"['في', 'يوم', 'السبت', 'في', 'العشر', 'الاوسط', 'من', 'جمادى', 'الاخرة', 'سنة', 'احدى', 'وستمائة']",,True,True,,6,601.0,"<re.Match object; span=(0, 62), match=' في يوم السبت في العشر الاوسط من جمادى الاخرة سنة>"
في العشر الأوسط من جمادى الأولى سنة إحدى وستمائة,11- 20,,5.0,601,"['في', 'العشر', 'الاوسط', 'من', 'جمادى', 'الاولى', 'سنة', 'احدى', 'وستمائة']",,True,True,,5,601.0,"<re.Match object; span=(0, 49), match=' في العشر الاوسط من جمادى الاولى سنة احدى وستمائة>"
يوم الثلاثاء سلخ جمادى الآخرة سنة سبع وستين وستمئة,27- 30,Yawm al-thalatha,6.0,667,"['يوم', 'الثلاثاء', 'سلخ', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وستين', 'وستمئة']",,True,True,,6,667.0,"<re.Match object; span=(0, 51), match=' يوم الثلاثاء سلخ جمادى الاخرة سنة سبع وستين وستم>"
في العشر الأواخر من صفر سنة اثنتي عشرة وستمائة,21- 30,,2.0,612,"['في', 'العشر', 'الاواخر', 'من', 'صفر', 'سنة', 'اثنتي', 'عشرة', 'وستمائة']",,True,True,,2,612.0,"<re.Match object; span=(0, 47), match=' في العشر الاواخر من صفر سنة اثنتي عشرة وستمائة'>"
سلخ ربيع الآخر سنة سبع وأربعين وسبعمائة,27-30,,4.0,747,"['سلخ', 'ربيع', 'الاخر', 'سنة', 'سبع', 'واربعين', 'وسبعمائة']",,True,True,,4,747.0,"<re.Match object; span=(0, 40), match=' سلخ ربيع الاخر سنة سبع واربعين وسبعمائة'>"
 سلخ ذي القعدة سنة إحدى وسبعمائة,27- 30,,11.0,701,"['سلخ', 'ذي', 'القعدة', 'سنة', 'احدى', 'وسبعمائة']",,True,True,,11,701.0,"<re.Match object; span=(0, 32), match=' سلخ ذي القعدة سنة احدى وسبعمائة'>"
 في العشر الثالث من شهر رمضان في سنة أحد وأربعين وثمان مائة,21- 30,,9.0,841,"['في', 'العشر', 'الثالث', 'من', 'شهر', 'رمضان', 'في', 'سنة', 'احد', 'واربعين', 'وثمان', 'مائة']",,True,True,3.0,9,841.0,"<re.Match object; span=(0, 59), match=' في العشر الثالث من شهر رمضان في سنة احد واربعين >"
يوم الأحد سلخ ذي القعدة سنة ست وثمانين وخمسمائة,27- 30,Yawm al-ahad,11.0,586,"['يوم', 'الاحد', 'سلخ', 'ذي', 'القعدة', 'سنة', 'ست', 'وثمانين', 'وخمسمائة']",,True,True,,11,586.0,"<re.Match object; span=(0, 48), match=' يوم الاحد سلخ ذي القعدة سنة ست وثمانين وخمسمائة'>"
 يوم الثلاثاء في العشر الأوسط من ذي القعدة سنة إحدى وستين وستمائة,11- 20,Yawm al-thalatha,11.0,661,"['يوم', 'الثلاثاء', 'في', 'العشر', 'الاوسط', 'من', 'ذي', 'القعدة', 'سنة', 'احدى', 'وستين', 'وستمائة']",,True,True,,11,661.0,"<re.Match object; span=(0, 65), match=' يوم الثلاثاء في العشر الاوسط من ذي القعدة سنة اح>"
مستهل ذي الحجة سنة ست وثمانين وخمسمائة,1-3,,12.0,586,"['مستهل', 'ذي', 'الحجة', 'سنة', 'ست', 'وثمانين', 'وخمسمائة']",,True,True,,12,586.0,"<re.Match object; span=(0, 39), match=' مستهل ذي الحجة سنة ست وثمانين وخمسمائة'>"
يوم السبت في العشر الآخر من ذي القعدة سنة إحدى وستين وستمائة,21- 30,Yawm al-sabt,11.0,661,"['يوم', 'السبت', 'في', 'العشر', 'الاخر', 'من', 'ذي', 'القعدة', 'سنة', 'احدى', 'وستين', 'وستمائة']",,True,True,,11,661.0,"<re.Match object; span=(0, 61), match=' يوم السبت في العشر الاخر من ذي القعدة سنة احدى و>"
في مستهل رجب المبارك يوم الثلاثاء سنة اثنتين و ستين وستمائة,1-3,,7.0,662,"['في', 'مستهل', 'رجب', 'المبارك', 'يوم', 'الثلاثاء', 'سنة', 'اثنتين', 'و', 'ستين', 'وستمائة']",,False,False,,,2.0,"<re.Match object; span=(0, 45), match=' في مستهل رجب المبارك يوم الثلاثاء سنة اثنتين'>"
 في يوم الاثنين سلخ المحرم سنة ثلاث وعشرين وسبعمائة,27- 30,Yawm al-ithnayn,1.0,723,"['في', 'يوم', 'الاثنين', 'سلخ', 'المحرم', 'سنة', 'ثلاث', 'وعشرين', 'وسبعمائة']",,True,True,,1,723.0,"<re.Match object; span=(0, 51), match=' في يوم الاثنين سلخ المحرم سنة ثلاث وعشرين وسبعما>"
ر، وذلك يوم السبت سلخ جمادي الآخر سنة ثمان وسبعين ,27- 30,Yawm al-sabt,6.0,578,"['ر', '،', 'وذلك', 'يوم', 'السبت', 'سلخ', 'جمادي', 'الاخر', 'سنة', 'ثمان', 'وسبعين']",,False,False,,End of,78.0,"<re.Match object; span=(4, 51), match=' وذلك يوم السبت سلخ جمادي الاخر سنة ثمان وسبعين'>"
يوم الأربعاء في العشر الأول من ذي الحجة سنة ست وثمانين وخمسمائة,1- 10,Yawm al-arba'a,12.0,586,"['يوم', 'الاربعاء', 'في', 'العشر', 'الاول', 'من', 'ذي', 'الحجة', 'سنة', 'ست', 'وثمانين', 'وخمسمائة']",,True,True,,12,586.0,"<re.Match object; span=(0, 64), match=' يوم الاربعاء في العشر الاول من ذي الحجة سنة ست و>"
الاثنين من العشر الأوسط من ذي الحجة سنة إحدى وسبعين وستمائة,11- 20,Yawm al-ithnayn,12.0,671,"['الاثنين', 'من', 'العشر', 'الاوسط', 'من', 'ذي', 'الحجة', 'سنة', 'احدى', 'وسبعين', 'وستمائة']",,True,True,,12,671.0,"<re.Match object; span=(0, 60), match=' الاثنين من العشر الاوسط من ذي الحجة سنة احدى وسب>"
يوم الثلاثاء في العشر الأخير من ذي الحجة سنة إحدى وستين وستمائة,21- 30,Yawm al-thalatha,12.0,661,"['يوم', 'الثلاثاء', 'في', 'العشر', 'الاخير', 'من', 'ذي', 'الحجة', 'سنة', 'احدى', 'وستين', 'وستمائة']",,True,True,,12,661.0,"<re.Match object; span=(0, 64), match=' يوم الثلاثاء في العشر الاخير من ذي الحجة سنة احد>"
في مستهل ربيع الأول من سنة ثمانين وخمس مائة,1- 3,,3.0,580,"['في', 'مستهل', 'ربيع', 'الاول', 'من', 'سنة', 'ثمانين', 'وخمس', 'مائة']",,True,True,,3,580.0,"<re.Match object; span=(0, 44), match=' في مستهل ربيع الاول من سنة ثمانين وخمس مائة'>"
غرة شوال سنة خمس وثلاثين وستمائة,1- 3,,10.0,635,"['غرة', 'شوال', 'سنة', 'خمس', 'وثلاثين', 'وستمائة']",,True,True,,10,635.0,"<re.Match object; span=(0, 33), match=' غرة شوال سنة خمس وثلاثين وستمائة'>"
يوم الاثنين في العشر الثاني من المحرم سنة ثمان وخمسين وستمائة,11- 20,Yawm al-ithnayn,1.0,658,"['يوم', 'الاثنين', 'في', 'العشر', 'الثاني', 'من', 'المحرم', 'سنة', 'ثمان', 'وخمسين', 'وستمائة']",,True,True,2.0,1,658.0,"<re.Match object; span=(0, 62), match=' يوم الاثنين في العشر الثاني من المحرم سنة ثمان و>"
 يوم الخميس من العشر الأول من شهر ربيع الآخر سنة تسع وخمسين وستمائة,1- 10,Yawm al-khamis,4.0,659,"['يوم', 'الخميس', 'من', 'العشر', 'الاول', 'من', 'شهر', 'ربيع', 'الاخر', 'سنة', 'تسع', 'وخمسين', 'وستمائة']",,True,True,,4,659.0,"<re.Match object; span=(0, 67), match=' يوم الخميس من العشر الاول من شهر ربيع الاخر سنة >"
