text,day,weekday,month,year,text_nt,day_bool,month_bool,year_bool,day_match,month_match,year_match,match
سلخ ذي الحجة سنة إحدى وتسعين وأربعمائة,27- 30,,12.0,491,"['سلخ', 'ذي', 'الحجة', 'سنة', 'احدى', 'وتسعين', 'واربعمائة']",,True,True,,12,491.0,"<re.Match object; span=(0, 39), match=' سلخ ذي الحجة سنة احدى وتسعين واربعمائة'>"
 سلخ صفر من سنة خمس وأربعين وخمسمائة,27- 30,,2.0,545,"['سلخ', 'صفر', 'من', 'سنة', 'خمس', 'واربعين', 'وخمسمائة']",,True,True,,2,545.0,"<re.Match object; span=(0, 36), match=' سلخ صفر من سنة خمس واربعين وخمسمائة'>"
سلخ شوال سنة اثنتين وتسعين وأربعمائة,27- 30,,10.0,492,"['سلخ', 'شوال', 'سنة', 'اثنتين', 'وتسعين', 'واربعمائة']",,True,True,,10,492.0,"<re.Match object; span=(0, 37), match=' سلخ شوال سنة اثنتين وتسعين واربعمائة'>"
سلخ ذي الحجة سنة إحدى وتسعين وأربعمائة,27- 30,,12.0,491,"['سلخ', 'ذي', 'الحجة', 'سنة', 'احدى', 'وتسعين', 'واربعمائة']",,True,True,,12,491.0,"<re.Match object; span=(0, 39), match=' سلخ ذي الحجة سنة احدى وتسعين واربعمائة'>"
سلخ المحرم من سنة اثنتين وتسعين وأربعمائة,27- 30,,1.0,492,"['سلخ', 'المحرم', 'من', 'سنة', 'اثنتين', 'وتسعين', 'واربعمائة']",,True,True,,1,492.0,"<re.Match object; span=(0, 42), match=' سلخ المحرم من سنة اثنتين وتسعين واربعمائة'>"
سلخ المحرم سنة اثنتين وتسعين وأربعمائة,27- 30,,1.0,492,"['سلخ', 'المحرم', 'سنة', 'اثنتين', 'وتسعين', 'واربعمائة']",,True,True,,1,492.0,"<re.Match object; span=(0, 39), match=' سلخ المحرم سنة اثنتين وتسعين واربعمائة'>"
في العشر الأوسط سنة ست وسبع مائة,11- 20,,,706,"['في', 'العشر', 'الاوسط', 'سنة', 'ست', 'وسبع', 'مائة']",,True,True,,,706.0,"<re.Match object; span=(0, 33), match=' في العشر الاوسط سنة ست وسبع مائة'>"
في العشر الأول من جمادى الآخرة سنة سبع وسبع مائة,1-10,,6.0,707,"['في', 'العشر', 'الاول', 'من', 'جمادى', 'الاخرة', 'سنة', 'سبع', 'وسبع', 'مائة']",,True,True,,6,707.0,"<re.Match object; span=(0, 49), match=' في العشر الاول من جمادى الاخرة سنة سبع وسبع مائة>"
يوم الثلاثاء سلخ شهر ذي الحجة سنة إحدى وعشرين وسبع مائة,27- 30,Yawm al-thalatha,12.0,721,"['يوم', 'الثلاثاء', 'سلخ', 'شهر', 'ذي', 'الحجة', 'سنة', 'احدى', 'وعشرين', 'وسبع', 'مائة']",,True,True,,12,721.0,"<re.Match object; span=(0, 56), match=' يوم الثلاثاء سلخ شهر ذي الحجة سنة احدى وعشرين وس>"
الخميس مستهل ذي الحجة الحرام من سنة ثلاث وثمانين وستمائة,1-3,Yawm al-khamis,1.0,683,"['الخميس', 'مستهل', 'ذي', 'الحجة', 'الحرام', 'من', 'سنة', 'ثلاث', 'وثمانين', 'وستمائة']",,False,True,,,683.0,"<re.Match object; span=(0, 57), match=' الخميس مستهل ذي الحجة الحرام من سنة ثلاث وثمانين>"
يوم الأربعاء سلخ ربيع الأول سنة تسع وعشرين [وخمسمائة],27- 30,Yawm al-arba'a,3.0,529,"['يوم', 'الاربعاء', 'سلخ', 'ربيع', 'الاول', 'سنة', 'تسع', 'وعشرين', 'وخمسمائة']",,True,True,,3,529.0,"<re.Match object; span=(0, 52), match=' يوم الاربعاء سلخ ربيع الاول سنة تسع وعشرين وخمسم>"
سلخ جمادى الأولى سنة سبع وخمسين وستمائة,27- 30,,5.0,657,"['سلخ', 'جمادى', 'الاولى', 'سنة', 'سبع', 'وخمسين', 'وستمائة']",,True,True,,5,657.0,"<re.Match object; span=(0, 40), match=' سلخ جمادى الاولى سنة سبع وخمسين وستمائة'>"
 في العشر الأوسط من رجب سنة خمس وثلاثين وستمئة,11-20,,7.0,635,"['في', 'العشر', 'الاوسط', 'من', 'رجب', 'سنة', 'خمس', 'وثلاثين', 'وستمئة']",,True,True,,7,635.0,"<re.Match object; span=(0, 46), match=' في العشر الاوسط من رجب سنة خمس وثلاثين وستمئة'>"
في العشر الأول من صفر من سنة سبع وثمانين وخمسمئة,1-10,,2.0,587,"['في', 'العشر', 'الاول', 'من', 'صفر', 'من', 'سنة', 'سبع', 'وثمانين', 'وخمسمئة']",,True,True,,2,587.0,"<re.Match object; span=(0, 49), match=' في العشر الاول من صفر من سنة سبع وثمانين وخمسمئة>"
العشر الوسط من شهر ربيع الآخر سنة سبع وتسعين وخمس مائة ,11- 20,,4.0,597,"['العشر', 'الوسط', 'من', 'شهر', 'ربيع', 'الاخر', 'سنة', 'سبع', 'وتسعين', 'وخمس', 'مائة']",,True,True,,4,597.0,"<re.Match object; span=(0, 55), match=' العشر الوسط من شهر ربيع الاخر سنة سبع وتسعين وخم>"
سلخ شوال من سنة ست وخمسين وخمسمائة,27-30,,10.0,556,"['سلخ', 'شوال', 'من', 'سنة', 'ست', 'وخمسين', 'وخمسمائة']",,True,True,,10,556.0,"<re.Match object; span=(0, 35), match=' سلخ شوال من سنة ست وخمسين وخمسمائة'>"
في العشر الأخير من رمضان سنة سبع وستين وستمائة,21- 30,,9.0,667,"['في', 'العشر', 'الاخير', 'من', 'رمضان', 'سنة', 'سبع', 'وستين', 'وستمائة']",,True,True,,9,667.0,"<re.Match object; span=(0, 47), match=' في العشر الاخير من رمضان سنة سبع وستين وستمائة'>"
سلخ شوال سنة ست وخمسين وخمسمائة,27- 30,,10.0,556,"['سلخ', 'شوال', 'سنة', 'ست', 'وخمسين', 'وخمسمائة']",,True,True,,10,556.0,"<re.Match object; span=(0, 32), match=' سلخ شوال سنة ست وخمسين وخمسمائة'>"
سلخ شوال من سنة ست وخمسين وخمسماية,27- 30,,10.0,556,"['سلخ', 'شوال', 'من', 'سنة', 'ست', 'وخمسين', 'وخمسماية']",,True,True,,10,556.0,"<re.Match object; span=(0, 35), match=' سلخ شوال من سنة ست وخمسين وخمسماية'>"
العشر الوسط من شهر ربيع الآخر سنة سبع وسبعين وخمسماية,21-30,,4.0,577,"['العشر', 'الوسط', 'من', 'شهر', 'ربيع', 'الاخر', 'سنة', 'سبع', 'وسبعين', 'وخمسماية']",,True,True,,4,577.0,"<re.Match object; span=(0, 54), match=' العشر الوسط من شهر ربيع الاخر سنة سبع وسبعين وخم>"
العشر الأول من شهر جمادى الآخر من سنة تسع وخمسين وستمائة,1- 10,,6.0,659,"['العشر', 'الاول', 'من', 'شهر', 'جمادى', 'الاخر', 'من', 'سنة', 'تسع', 'وخمسين', 'وستمائة']",,True,True,,6,659.0,"<re.Match object; span=(0, 57), match=' العشر الاول من شهر جمادى الاخر من سنة تسع وخمسين>"
في [...] والعشرين من جمادى الأولى سنة سبع وخمسين وستمئة,21- 25,,5.0,657,"['في', '.', '.', '.', 'والعشرين', 'من', 'جمادى', 'الاولى', 'سنة', 'سبع', 'وخمسين', 'وستمئة']",,True,True,20.0,5,657.0,"<re.Match object; span=(9, 56), match=' والعشرين من جمادى الاولى سنة سبع وخمسين وستمئة'>"
يوم الخميس غرة شهر رمضان المعظم من سنة ثلاث وعشرين وست مئة,1- 3,Yawm al-khamis,9.0,623,"['يوم', 'الخميس', 'غرة', 'شهر', 'رمضان', 'المعظم', 'من', 'سنة', 'ثلاث', 'وعشرين', 'وست', 'مئة']",,True,True,,9,623.0,"<re.Match object; span=(0, 59), match=' يوم الخميس غرة شهر رمضان المعظم من سنة ثلاث وعشر>"
في العشر الأول من جمادى الأول سنة سبع وخمسين وستمئة,1-10,,5.0,657,"['في', 'العشر', 'الاول', 'من', 'جمادى', 'الاول', 'سنة', 'سبع', 'وخمسين', 'وستمئة']",,True,True,,5,657.0,"<re.Match object; span=(0, 52), match=' في العشر الاول من جمادى الاول سنة سبع وخمسين وست>"
في العشر الأوسط من صفر من سنة سبع وأربعين وستمئة هجرية,11-20,,2.0,647,"['في', 'العشر', 'الاوسط', 'من', 'صفر', 'من', 'سنة', 'سبع', 'واربعين', 'وستمئة', 'هجرية']",,True,True,,2,647.0,"<re.Match object; span=(0, 49), match=' في العشر الاوسط من صفر من سنة سبع واربعين وستمئة>"
يوم السبت مستهل صفر سنة ست وثلاثين وثمان مئة,1-3,Yawm al-sabt,2.0,836,"['يوم', 'السبت', 'مستهل', 'صفر', 'سنة', 'ست', 'وثلاثين', 'وثمان', 'مئة']",,True,True,,2,836.0,"<re.Match object; span=(0, 45), match=' يوم السبت مستهل صفر سنة ست وثلاثين وثمان مئة'>"
يوم السبت سلخ ربيع الأول سنة ست وستين وثمانمئة,27-30,Yawm al-sabt,3.0,866,"['يوم', 'السبت', 'سلخ', 'ربيع', 'الاول', 'سنة', 'ست', 'وستين', 'وثمانمئة']",,True,True,,3,866.0,"<re.Match object; span=(0, 47), match=' يوم السبت سلخ ربيع الاول سنة ست وستين وثمانمئة'>"
في العشر الأوسط من جمادى الآخر سنة أربع وثمانين وستمائة,11-20,,6.0,684,"['في', 'العشر', 'الاوسط', 'من', 'جمادى', 'الاخر', 'سنة', 'اربع', 'وثمانين', 'وستمائة']",,True,True,,6,684.0,"<re.Match object; span=(0, 56), match=' في العشر الاوسط من جمادى الاخر سنة اربع وثمانين >"
يوم الأربعاء في العشر الأخير من رجب سنة إحدى وثمانين وستمائة,21-30,Yawm al-arba'a,7.0,681,"['يوم', 'الاربعاء', 'في', 'العشر', 'الاخير', 'من', 'رجب', 'سنة', 'احدى', 'وثمانين', 'وستمائة']",,True,True,,7,681.0,"<re.Match object; span=(0, 61), match=' يوم الاربعاء في العشر الاخير من رجب سنة احدى وثم>"
يوم الأحد في العشر الأول من شهر ذي الحجة من سنة أربع وسبعين وخمس مائة,1-10,Yawm al-ahad,12.0,574,"['يوم', 'الاحد', 'في', 'العشر', 'الاول', 'من', 'شهر', 'ذي', 'الحجة', 'من', 'سنة', 'اربع', 'وسبعين', 'وخمس', 'مائة']",,True,True,,12,574.0,"<re.Match object; span=(0, 70), match=' يوم الاحد في العشر الاول من شهر ذي الحجة من سنة >"
يوم السبت سلخ ذي القعدة من سنة عشر وستمائة,27- 30,Yawm al-sabt,11.0,610,"['يوم', 'السبت', 'سلخ', 'ذي', 'القعدة', 'من', 'سنة', 'عشر', 'وستمائة']",,True,True,,11,610.0,"<re.Match object; span=(0, 43), match=' يوم السبت سلخ ذي القعدة من سنة عشر وستمائة'>"
في مستهل جمادى الآخر من سنة ثلاث وستين وستمائة,1- 3,,6.0,663,"['في', 'مستهل', 'جمادى', 'الاخر', 'من', 'سنة', 'ثلاث', 'وستين', 'وستمائة']",,True,True,,6,663.0,"<re.Match object; span=(0, 47), match=' في مستهل جمادى الاخر من سنة ثلاث وستين وستمائة'>"
في العشر الوسط من جمادى الآخرة سنة تسع وستين وستمائة,11- 20,,6.0,669,"['في', 'العشر', 'الوسط', 'من', 'جمادى', 'الاخرة', 'سنة', 'تسع', 'وستين', 'وستمائة']",,True,True,,6,669.0,"<re.Match object; span=(0, 53), match=' في العشر الوسط من جمادى الاخرة سنة تسع وستين وست>"
يوم الخميس في العشر الأخير من جمادى الآخرة سنة أربع وثمانين وستمائة,21- 30,Yawm al-khamis,6.0,684,"['يوم', 'الخميس', 'في', 'العشر', 'الاخير', 'من', 'جمادى', 'الاخرة', 'سنة', 'اربع', 'وثمانين', 'وستمائة']",,True,True,,6,684.0,"<re.Match object; span=(0, 68), match=' يوم الخميس في العشر الاخير من جمادى الاخرة سنة ا>"
في أواخر شهر ربيع الآخر سنة ثلاث وثمانين وستمائة,27- 30,,4.0,683,"['في', 'اواخر', 'شهر', 'ربيع', 'الاخر', 'سنة', 'ثلاث', 'وثمانين', 'وستمائة']",,True,True,,4,683.0,"<re.Match object; span=(0, 49), match=' في اواخر شهر ربيع الاخر سنة ثلاث وثمانين وستمائة>"
يوم الأحد مستهل شهر رجب الفرد سنة تسعين وستمائة,1-3,Yawm al-ahad,7.0,690,"['يوم', 'الاحد', 'مستهل', 'شهر', 'رجب', 'الفرد', 'سنة', 'تسعين', 'وستمائة']",,True,True,,7,690.0,"<re.Match object; span=(0, 48), match=' يوم الاحد مستهل شهر رجب الفرد سنة تسعين وستمائة'>"
مستهل شعبان المكرم سنة سبع وستين وسبعمئة,1-3,,8.0,767,"['مستهل', 'شعبان', 'المكرم', 'سنة', 'سبع', 'وستين', 'وسبعمئة']",,True,True,,8,767.0,"<re.Match object; span=(0, 41), match=' مستهل شعبان المكرم سنة سبع وستين وسبعمئة'>"
في العشر الآخر من المحرم سنة اثنتين وستين وستمائة,21-30,,1.0,662,"['في', 'العشر', 'الاخر', 'من', 'المحرم', 'سنة', 'اثنتين', 'وستين', 'وستمائة']",,True,True,,1,662.0,"<re.Match object; span=(0, 50), match=' في العشر الاخر من المحرم سنة اثنتين وستين وستمائ>"
يوم الجمعة في العشر الأول من شعبان سنة ثلاث وستين وستمائة,1-10,Yawm al-juma,8.0,663,"['يوم', 'الجمعة', 'في', 'العشر', 'الاول', 'من', 'شعبان', 'سنة', 'ثلاث', 'وستين', 'وستمائة']",,True,True,,8,663.0,"<re.Match object; span=(0, 58), match=' يوم الجمعة في العشر الاول من شعبان سنة ثلاث وستي>"
العشر الأخير من جمادى الأخير من سنة ثلاث وستين وستمائة,21-30,,6.0,663,"['العشر', 'الاخير', 'من', 'جمادى', 'الاخير', 'من', 'سنة', 'ثلاث', 'وستين', 'وستمائة']",,False,True,,,663.0,"<re.Match object; span=(0, 55), match=' العشر الاخير من جمادى الاخير من سنة ثلاث وستين و>"
 يوم الأربعاء في العشر الأول من صفر سنة ست وستين وستمائة,1-10,Yawm al-arba'a,2.0,666,"['يوم', 'الاربعاء', 'في', 'العشر', 'الاول', 'من', 'صفر', 'سنة', 'ست', 'وستين', 'وستمائة']",,True,True,,2,666.0,"<re.Match object; span=(0, 56), match=' يوم الاربعاء في العشر الاول من صفر سنة ست وستين >"
يوم السبت مستهل ذي الحجة سنة أربع وستين وستمئة ,1-3,Yawm al-sabt,12.0,664,"['يوم', 'السبت', 'مستهل', 'ذي', 'الحجة', 'سنة', 'اربع', 'وستين', 'وستمئة']",,True,True,,12,664.0,"<re.Match object; span=(0, 47), match=' يوم السبت مستهل ذي الحجة سنة اربع وستين وستمئة'>"
في يوم السبت في العشر الأواخر من جمادى الآخر سنة ثلاث وستين وستمائة,21-30,Yawm al-sabt,6.0,663,"['في', 'يوم', 'السبت', 'في', 'العشر', 'الاواخر', 'من', 'جمادى', 'الاخر', 'سنة', 'ثلاث', 'وستين', 'وستمائة']",,True,True,,6,663.0,"<re.Match object; span=(0, 68), match=' في يوم السبت في العشر الاواخر من جمادى الاخر سنة>"
يوم الأربعاء مستهل صفر سنة ثلاث وثمانين وستمئة,1-3,Yawm al-arba'a,2.0,683,"['يوم', 'الاربعاء', 'مستهل', 'صفر', 'سنة', 'ثلاث', 'وثمانين', 'وستمئة']",,True,True,,2,683.0,"<re.Match object; span=(0, 47), match=' يوم الاربعاء مستهل صفر سنة ثلاث وثمانين وستمئة'>"
سلخ جمادى الآخرة من سنة ثلاث وثلاثين وستمائة,27-30,,6.0,633,"['سلخ', 'جمادى', 'الاخرة', 'من', 'سنة', 'ثلاث', 'وثلاثين', 'وستمائة']",,True,True,,6,633.0,"<re.Match object; span=(0, 45), match=' سلخ جمادى الاخرة من سنة ثلاث وثلاثين وستمائة'>"
