,geometry,toponyms,value_counts
833,POINT (31.01342 30.58083),['مليج'],4.0
114,POINT (58.79841 36.12138),['نيسابور'],3.0
1312,POINT (35.95309 35.36567),['جبلة'],3.0
75,POINT (46.73212 24.64352),['الحجر'],3.0
1105,POINT (31.25648 29.85447),"['منف', 'العزيزية']",3.0
1228,POINT (58.79841 36.12138),['نيسابور'],3.0
41,POINT (38.31435 35.52404),"['البطلامية', 'الخربة']",3.0
956,POINT (37.07106 35.00401),['سلمية'],3.0
1101,POINT (39.58264 24.44572),['قبا'],3.0
968,POINT (10.08563 33.86603),['قابس'],3.0
823,POINT (33.80807 31.12453),['العريش'],3.0
348,POINT (-7.80444 38.00689),['باجة'],3.0
825,POINT (72.18143000000001 40.5566),['قبا'],3.0
2157,POINT (9.205629999999999 36.67738),['باجة'],3.0
1867,POINT (51.65 32.66855),"['اصبهان', 'اصفهان']",3.0
948,POINT (-7.80444 38.00689),['باجة'],3.0
333,POINT (36.23184 33.46544),['داريا'],3.0
463,POINT (43.13392 38.34421),['وسطان'],3.0
978,POINT (37.93999 26.86125),"['حجر صالح', 'الحجر']",3.0
2151,POINT (51.65 32.66855),"['اصبهان', 'اصفهان', 'اليهودية']",3.0
1005,POINT (34.65335 31.56416),['السكرية'],3.0
704,POINT (36.69124 35.64344),['معرة النعمان'],3.0
1906,POINT (51.50831 35.62754),['الري'],3.0
2100,POINT (54.24655 28.98623),"['ايج', 'ايك']",2.0
1887,POINT (66.21231 36.8377),['السدرة'],2.0
2225,POINT (-2.50099 36.86202),['المرية'],2.0
1455,POINT (44.86953 13.06747),"['لحج', 'لهج']",2.0
2009,POINT (-4.23723 31.27819),['سجلماسة'],2.0
1800,POINT (35.37475 33.56642),['صيداء'],2.0
2134,POINT (62.10386 37.67193),"['مرو', 'مرو الشاهجان']",2.0
1478,POINT (-5.56626 33.91455),['مكناسة'],2.0
2205,POINT (44.37232 32.01734),['الحيرة'],2.0
1727,POINT (37.19786 27.92136),['الجنينة'],2.0
1726,POINT (43.69617 34.59215),['تكريت'],2.0
1558,POINT (31.24253 30.0154),"['القصر', 'باب اليون']",2.0
1718,POINT (32.22755 31.21262),['تنيس'],2.0
2163,POINT (39.26821 25.78667),['خيبر'],2.0
1619,POINT (10.6156 35.81044),['سوسة'],2.0
2152,POINT (48.85461 32.0511),"['تستر', 'ششتر']",2.0
1649,POINT (35.80763 35.51961),['اللاذقية'],2.0
1,POINT (35.49256 32.5),['بيسان'],2.0
1174,POINT (42.51067 17.58374),['تهامة'],2.0
403,POINT (36.23184 33.35826),['الكسوة'],2.0
132,POINT (40.20316 21.32282),['عرفات'],2.0
13,POINT (35.63816 32.97543),['الحلة'],2.0
826,POINT (48.85461 32.0511),"['تستر', 'ششتر']",2.0
597,POINT (28.83405 25.67032),['القصر'],2.0
161,POINT (32.93994 23.86056),['القصر'],2.0
149,POINT (33.05753 31.14397),"['دير النصارى', 'حصن النصارى', 'القصر']",2.0
1259,POINT (56.82897 23.0552),['السر'],2.0
1208,POINT (62.10386 37.67193),"['مرو', 'مرو الشاهجان']",2.0
1261,POINT (39.05128 35.9493),['الرقة'],2.0
129,POINT (-4.23723 31.27819),['سجلماسة'],2.0
347,POINT (35.27017 32.60823),['اللجون'],2.0
360,POINT (38.95085 24.03308),['الصفراء'],2.0
727,POINT (51.68412 29.60743),['كازرون'],2.0
1035,POINT (8.150270000000001 33.93695),['توزر'],2.0
365,POINT (46.73506 24.08674),['اليمامة'],2.0
404,POINT (42.758 36.47417),['بلد'],1.0
2031,POINT (36.60247 33.74546),['القطيفة'],1.0
418,POINT (48.75339 41.11585),"['شروان', 'شروان']",1.0
2013,POINT (-4.52149 32.30201),['عريش'],1.0
1349,POINT (54.34286 31.90975),"['يزد', 'كثة']",1.0
427,POINT (-3.80302 37.78977),['جيان'],1.0
434,POINT (30.28697 32.20303),['بحر الروم'],1.0
445,POINT (44.42281 32.57211),['بابل'],1.0
394,POINT (36.08689 32.07029),['الزرقاء'],1.0
455,POINT (40.92477 34.42004),['وادي السباع'],1.0
1971,POINT (58.78635 31.90091),['الحوض'],1.0
458,POINT (36.84868 34.16598),['قارة'],1.0
1942,POINT (38.09005 36.02806),['بالس'],1.0
554,POINT (48.57908 34.77554),['همذان'],1.0
1939,POINT (30.75576 27.85616),['الاشمونين'],1.0
1975,POINT (66.84071 39.03102),"['كش', 'كش']",1.0
2118,POINT (36.92987 37.58314),['مرعش'],1.0
376,POINT (40.07137 15.69528),['دهلك'],1.0
2106,POINT (35.92143 33.83512),['البقاع'],1.0
2288,POINT (49.94102 24.72896),['الهجر'],1.0
2273,POINT (30.44535 31.25059),['ديروط'],1.0
70,POINT (59.59168 36.20578),"['النوقان', 'المشهد']",1.0
72,POINT (32.29854 26.02153),['هو'],1.0
103,POINT (42.80636 16.32481),['الشرجة'],1.0
2199,POINT (48.75339 41.11585),"['شروان', 'شروان']",1.0
199,POINT (35.90356 34.89985),"['انطرطوس', 'انطرسوس', 'طرطوس']",1.0
200,POINT (36.04321 32.92323),['الجابية'],1.0
207,POINT (31.60625 26.5449),"['الدير', 'دير بو شنودة']",1.0
288,POINT (31.9959 26.21922),['بلينا'],1.0
2137,POINT (31.10677 29.27633),"['بوصير', 'بوصير الفيوم', 'ابوصير', 'بوصير قوريدس', 'بوصير الاشمونين']",1.0
296,POINT (41.65725 22.78726),['قباء'],1.0
2132,POINT (48.92625 30.81069),"['الدورق', 'السراق']",1.0
312,POINT (43.26055 33.46273),['الرب'],1.0
2122,POINT (32.38039 30.05828),['عجرود'],1.0
575,POINT (38.58647 25.71785),"['المروة', 'ذو المروة']",1.0
1885,POINT (56.45284 23.82088),['عمان'],1.0
640,POINT (42.80628 33.6437),['هيت'],1.0
684,POINT (48.57908 34.77554),['همذان'],1.0
1604,POINT (44.17508 13.69225),['الجند'],1.0
1600,POINT (67.65738 29.64265),"['بالش', 'بالس', 'والش', 'والشتان']",1.0
1205,POINT (-0.61866 35.70565),['وهران'],1.0
1568,POINT (67.03158000000001 38.22114),['باب الحديد'],1.0
1562,POINT (41.22167 37.05514),['نصيبين'],1.0
1211,POINT (35.4502 33.03094),['الجش'],1.0
1216,POINT (53.51012 28.51826),['جهرم'],1.0
1537,POINT (43.4038 14.15093),['وادي زبيد'],1.0
1525,POINT (44.39355 32.03808),['الكوفة'],1.0
1520,POINT (-4.78135 37.91898),['قرطبة'],1.0
1242,POINT (35.91903 31.93113),['عمان'],1.0
1286,POINT (36.48835 27.67097),"['رحبة', 'رحبة']",1.0
1442,POINT (39.2976 24.11893),['روحاء'],1.0
1430,POINT (62.37889 30.15265),"['كش', 'كس']",1.0
1346,POINT (34.75362 32.06237),"['يافا', 'يافة']",1.0
1402,POINT (31.649 26.69354),['فاو'],1.0
1388,POINT (54.65669 32.32168),"['خزانة', 'خرانة']",1.0
1381,POINT (42.50069 33.9843),['الخزانة'],1.0
1379,POINT (39.46144 21.88079),['عسفان'],1.0
1608,POINT (48.92625 30.81069),"['الدورق', 'السراق']",1.0
1138,POINT (72.02839 40.33989),['فرغانة'],1.0
1623,POINT (54.34286 31.90975),"['يزد', 'كثة']",1.0
1730,POINT (43.90335 15.51632),['شبام'],1.0
708,POINT (44.17508 13.69225),['الجند'],1.0
1368,POINT (35.48149 31.86882),['الغور'],1.0
770,POINT (64.84747 31.97709),"['سروان', 'شروان']",1.0
787,POINT (66.84071 39.03102),"['كش', 'كش']",1.0
1805,POINT (43.48282 13.9314),['حيس'],1.0
790,POINT (37.33759 25.0302),['الحوراء'],1.0
1775,POINT (37.02701 35.99617),['قنسرين'],1.0
839,POINT (69.63106999999999 40.24606),['خجندة'],1.0
866,POINT (40.99902 24.01161),['العمق'],1.0
1074,POINT (48.57208 15.92483),['شبام'],1.0
898,POINT (1.71713 37.28888),['بحر الروم'],1.0
919,POINT (44.03706 32.61792),['كربلاء'],1.0
1706,POINT (35.72442 30.19664),"['معان', 'معان']",1.0
1688,POINT (71.16439 40.88072),['باب'],1.0
1002,POINT (35.79833 33.09084),['الجولان'],1.0
1010,POINT (39.8395 35.58832),['المبارك'],1.0
1651,POINT (49.50023 26.90449),['القرى'],1.0
1018,POINT (52.49957 29.50609),"['كفره', 'كفر']",1.0
2310,POINT (41.68929 20.85351),['صفر'],1.0
0,POINT (59.41155 35.05003),"['سنكان', 'سنجان']",
2,POINT (51.26065 29.22327),['الغندجان'],
3,POINT (44.36585 32.64626),"['جسر سورا', 'جسر سوران']",
4,POINT (48.14211 30.41602),['فم العضدي'],
5,POINT (65.16655 36.95541),['اندخوذ'],
6,POINT (71.05784 40.55623),['خواكند'],
7,POINT (69.53615000000001 41.5108),['بركوش'],
8,POINT (38.72906 36.69218),['تل عبدا'],
9,POINT (13.09201 38.13882),['اخياس'],
10,POINT (-5.83301 34.59132),['كرت'],
11,POINT (52.43219 31.42233),"['سرويستان', 'سرورير']",
