,geometry,toponyms,value_counts
266,POINT (30.50654 31.2237),['فوة'],
267,POINT (70.01367 40.91403),['نهر ايلاق'],
268,POINT (35.32238 30.26155),['الجبال'],
269,POINT (36.15837 32.72189),['البثنية'],
270,POINT (-3.98826 37.74285),['مارتوش'],
271,POINT (30.6995 31.04306),['الصافية'],
272,POINT (35.56778 33.36423),['قرية العيون'],
273,POINT (37.17675 37.17638),['دلوك'],
274,POINT (45.96093 41.29497),['نهر الكر'],
276,POINT (61.60731 31.72221),"['جوين', 'كوين']",
277,POINT (-1.73128 37.6532),['لرقة'],
278,POINT (30.47608 31.25387),['سنديون'],
279,POINT (-5.84572 35.77868),['تنجة'],
280,POINT (64.44387999999999 34.88273),"['غرج الشار', 'جرجستان']",
281,POINT (59.30953 42.67871),"['مذمينية', 'مدكمينية !']",
282,POINT (43.58641 13.78649),['قفاعة'],
283,POINT (37.01435 26.79044),['البيضاء'],
284,POINT (43.98259 34.09388),['القادسية'],
285,POINT (56.69086 24.35205),['صحار'],
286,POINT (30.95992 29.13124),['اهناس'],
287,POINT (13.11223 38.03112),['برطنيق'],
289,POINT (48.50179 39.33548),"['موغان', 'موغكان', 'موقان']",
290,POINT (36.94952 36.7296),['قورس'],
292,POINT (36.79381 32.31179),['الاعنك'],
294,POINT (63.21212 35.76147),['قصر احنف'],
295,POINT (50.77259 35.30758),['مشكوية'],
297,POINT (57.48653 29.06085),"['الدربانى', 'الدرفانى', 'شعب درفارد']",
298,POINT (66.37226 39.86785),"['ربنجن', 'اربنجن']",
299,POINT (39.07106 36.38728),['حصن مسلمة'],
300,POINT (31.99133 31.25935),['بحيرة تنيس'],
301,POINT (54.41329 32.14014),['انجيرة'],
302,POINT (47.90457 34.4958),['قصر اللصوص'],
303,POINT (48.0869 46.2788),"['اتل', 'اتل']",
304,POINT (56.60995 34.25952),"['دسكردان', 'دسكروان']",
305,POINT (31.47498 26.94253),"['قو', 'قهقاوة', 'قهقة']",
306,POINT (63.98233 35.78873),['كنجاباذ'],
307,POINT (69.18357 41.27136),"['الشاش', 'بلاد الشاش']",
308,POINT (-5.33338 35.86107),['سبتة'],
309,POINT (34.89906 32.49326),['قيسرية'],
310,POINT (34.66817 31.79837),"['ازدود', 'يزدود']",
311,POINT (36.73153 32.65059),['الحوران'],
313,POINT (-7.22985 38.77894),['جلمانية'],
314,POINT (48.95073 23.29563),['يبرين'],
315,POINT (32.46943 18.06095),"['مقرة', 'مقرة']",
316,POINT (59.28793 37.12708),['قلميهن'],
317,POINT (62.19614 34.18473),"['مالن', 'السفلقات', 'ملين', 'مالان']",
318,POINT (63.51255 39.06795),['امل'],
319,POINT (66.70232 28.85409),['ايل'],
320,POINT (35.19783 28.9426),"['شرف ذو النمل', 'شرف البعل']",
321,POINT (66.29094000000001 38.84309),"['نوكاد', 'نوقاد قريش']",
322,POINT (12.88988 37.7083),['برطنة'],
323,POINT (54.51366 37.22611),['رباط علي'],
324,POINT (53.47044 29.697),"['بحيرة الباشفوية', ' بحيرة الباشفورية']",
325,POINT (44.50953 32.94875),['نهر الملك'],
326,POINT (55.70689 30.31412),"['ده اشتران', 'قرية الجمال']",
327,POINT (70.17895 38.3061),['نهر هلبك'],
328,POINT (47.70188 32.17254),['قرقوب'],
329,POINT (44.44618 33.97797),['نهر القاطول'],
330,POINT (44.18108 33.34374),['عقرقوف'],
331,POINT (5.4076 36.15863),['سطيف'],
332,POINT (43.39249 36.02054),['الحديثة'],
334,POINT (65.43237000000001 31.51036),['بنجواي'],
335,POINT (8.19472 34.0563),['الحمة'],
336,POINT (43.95117 31.85995),['الرهيمة'],
337,POINT (57.45149 40.18649),['رباط ابو سهل'],
339,POINT (62.96749 35.96191),['حوزان'],
340,POINT (49.98216 26.18157),['مسيلحة'],
342,POINT (70.70139 40.13989),['اسبرة'],
343,POINT (55.80841 28.18163),"['تارم', 'تارم']",
344,POINT (67.32393999999999 39.74445),['بوزماجن'],
345,POINT (41.92466 23.22544),"['الدثينة', 'دفينة']",
346,POINT (43.50125 15.0801),['هوزان'],
349,POINT (62.22511 37.49732),"['جيرنج', 'كيرنك']",
350,POINT (39.07703 35.94235),['الرافقة'],
351,POINT (38.50713 23.8182),['الجار'],
352,POINT (64.64236 31.5428),['فيروزقند'],
353,POINT (43.46591 35.26076),['السن'],
354,POINT (53.98932 32.27744),['ميبذ'],
355,POINT (55.77403 24.19401),['تؤام'],
356,POINT (71.70197 42.89978),['نوشجان السفلى'],
358,POINT (36.07695 27.50168),"['كلابة', 'كلاية']",
359,POINT (42.89942 15.73119),['مور'],
361,POINT (72.10393999999999 42.88984),['كول شوب'],
362,POINT (59.73164 28.17735),['سراي شهر'],
363,POINT (53.20589 29.25713),"['خورستان', 'سروستان']",
364,POINT (35.57504 28.06253),['الاعراء'],
366,POINT (30.92349 30.79572),['محلة المحروم'],
367,POINT (46.32308 32.19497),['واسط'],
368,POINT (-3.34803 37.87641),['شوذر'],
369,POINT (-4.02927 34.22102),"['تيزا', 'تازة']",
370,POINT (35.99387 36.0896),['السويدية'],
371,POINT (61.47787 34.35023),"['بوسنج', 'فشنج', 'بوشنك']",
372,POINT (31.29974 29.43347),['اطفيح'],
373,POINT (61.91899 30.99252),"['زانبوق', 'زانبوك']",
374,POINT (1.36504 35.36971),['تاهرت'],
375,POINT (49.54697 33.88116),"['الكرج', 'كرج ابو دلف']",
377,POINT (60.07273 34.56282),['خواف'],
378,POINT (51.42853 29.64228),['نهر سابور'],
379,POINT (-3.30734 34.32074),['تابريدا'],
380,POINT (41.8722 20.55409),['كدي'],
381,POINT (71.74749 40.4358),['اوال'],
382,POINT (8.839370000000001 36.10562),"['لربس', 'الاربس']",
383,POINT (39.48117 15.63308),['باضع'],
384,POINT (36.87768 31.84612),['الازرق'],
385,POINT (70.43986 40.55623),['جاجيستان'],
386,POINT (65.33793 38.54277),['رباط خواران'],
387,POINT (68.90569000000001 27.65788),['الرور'],
388,POINT (40.41354 36.65489),['الجحشية'],
389,POINT (31.87094 31.40557),['شطا'],
391,POINT (41.7933 31.51068),['القراي'],
392,POINT (-2.28691 35.09519),['جراوة ابو العيش'],
393,POINT (27.61485 31.02336),['رمادة'],
395,POINT (3.16032 35.70178),['عشير'],
396,POINT (44.85637 13.96335),['كحلان'],
397,POINT (51.91951 36.47768),['ناتل'],
398,POINT (39.59145 24.64886),['جبل احد'],
399,POINT (52.67152 28.52097),"['رايكان', 'خان ازادمرد']",
400,POINT (30.78887 30.62076),['بستامة'],
401,POINT (42.43701 36.6609),['باعيناثا'],
402,POINT (51.90116 30.50943),['كام فيروز'],
405,POINT (49.67893 36.93549),"['نهر اسبيذروذ', 'نهر سبيذروذ']",
406,POINT (32.59811 31.02282),['الفرما'],
407,POINT (32.98286 24.10701),['اسوان'],
408,POINT (68.25338000000001 25.84265),['منجابارى'],
409,POINT (39.76511 35.05726),['القصبة'],
410,POINT (57.21668 31.88986),['غمر سرخ'],
411,POINT (73.01421999999999 19.90633),['سندان'],
412,POINT (71.21396 39.97506),"['سوخ', 'سوج']",
413,POINT (43.175 36.35104),"['نينوى', 'نونوا']",
414,POINT (48.30405 31.99567),['بصنا'],
415,POINT (57.47851 36.18956),['خسروجرد'],
416,POINT (53.11293 28.40599),['كارزن'],
417,POINT (60.79678 36.34872),"['اوكينة', 'اوكينة']",
419,POINT (44.74355 14.16433),['دمث'],
420,POINT (48.36521 33.49102),"['سابورخاشت', 'سابورخواشت']",
421,POINT (23.31692 32.18179),"['جب الميدان', 'جب الميدعان']",
422,POINT (37.50551 35.78031),['الخناصرة'],
423,POINT (53.33817 29.54292),['خرامة'],
424,POINT (75.87766000000001 43.067),['نويكث'],
425,POINT (53.27732 28.76436),['خبر'],
426,POINT (40.79626 22.44276),['المسلح'],
428,POINT (60.42876 41.99476),['نوزكث'],
429,POINT (30.57342 30.99062),['الشراك'],
430,POINT (59.98232 34.64655),['سلومك'],
431,POINT (35.80083 35.66663),"['فاسرة', 'كاسرة', 'قاسرة']",
432,POINT (54.43137 28.33754),['يزدخواست'],
433,POINT (45.72633 32.55466),['جبول'],
435,POINT (53.18449 30.63942),"['قرية بيذ', 'بيذ', 'قرية الخلاف']",
436,POINT (45.44708 34.34844),['خانقين'],
437,POINT (51.51624 29.83157),"['شهرستان', 'سابور']",
438,POINT (13.87795 37.97731),['بورقاد'],
439,POINT (38.98556 36.13571),['باجروان'],
440,POINT (-1.62697 42.04634),['تطيلة'],
441,POINT (35.97212 35.18256),['بلنياس'],
442,POINT (41.69403 39.39009),"['سن نحاس', 'باجنيس']",
443,POINT (15.87924 31.25883),['قصور حسان'],
444,POINT (69.62314000000001 36.76021),['طالقان'],
446,POINT (65.32516 36.3564),['القاء'],
447,POINT (3.09046 36.70793),['جزيرة بنو زغناية'],
448,POINT (36.54442 35.6843),['البارة'],
449,POINT (31.1062 30.37013),['دجوة'],
451,POINT (44.14391 15.83563),['ناعط'],
452,POINT (39.08906 36.88438),['حران'],
453,POINT (34.10934 22.13452),['وادي علقي'],
454,POINT (52.64171 27.34352),['نابند'],
456,POINT (65.44949 39.03468),['بزدة'],
457,POINT (67.72517000000001 35.24443),"['كاه', 'جاه']",
459,POINT (-5.10865 37.53493),['استجة'],
460,POINT (17.72231 30.77615),['اليهوديتين'],
461,POINT (43.20001 42.55502),['جرزان'],
462,POINT (42.35028 27.2436),['سلما'],
464,POINT (-0.9292 41.63368),"['سرقوسة', 'سرقوسطة']",
465,POINT (65.8104 38.86245),['نسف'],
466,POINT (40.42853 21.62677),['ذات عرق'],
467,POINT (-6.8414 39.69061),['قنطرة السيف'],
468,POINT (62.42996 35.20428),"['كيف', 'كيف']",
469,POINT (56.489 34.11501),"['نجاي', 'نوخاني']",
470,POINT (-5.96199 37.4079),['اشبيلية'],
471,POINT (39.29172 24.72896),['ذو خشب'],
472,POINT (45.58857 13.98039),['السرو'],
473,POINT (51.72677 32.40272),['كروان'],
474,POINT (-5.58702 37.95728),"['فريش', 'قرسيس']",
475,POINT (51.92199 30.72449),['كلار'],
476,POINT (54.93672 33.55385),['جرمق'],
477,POINT (48.83628 30.73079),"['خن مزدويهي', 'خان مردويه']",
478,POINT (56.13806 27.7741),"['ده بارست', 'ده رويست']",
479,POINT (65.31238999999999 37.59463),"['قبر غياث', 'قنى غياث']",
480,POINT (44.33826 31.98379),['نجاف'],
481,POINT (52.17709 31.51558),['ازكاس'],
482,POINT (49.01519 31.76776),"['نهر مشرقان', 'مسروقان']",
483,POINT (64.54957 35.88354),['كسحان'],
484,POINT (47.20469 41.34856),['شكي'],
485,POINT (42.71961 19.51994),['جسداء'],
486,POINT (36.74279 34.53863),['شمسين'],
487,POINT (44.07861 25.98495),['العوسجة'],
488,POINT (15.10968 37.52663),['قطانية'],
489,POINT (53.32456 32.70128),['كشكان'],
490,POINT (70.22677 40.46049),['صامغار'],
491,POINT (48.73262 34.84758),['درنوى'],
492,POINT (65.03496 32.1828),['درتل'],
493,POINT (34.42276 31.50145),['ميماس'],
494,POINT (32.3556 15.06046),['النيل الابيض'],
495,POINT (62.37698 34.28751),['باشان'],
496,POINT (50.22217 30.34108),['ريشهر'],
497,POINT (40.08231 20.84741),['يلملم'],
498,POINT (38.70747 29.01767),['مخري'],
499,POINT (52.72262 32.66383),['ركونين'],
500,POINT (35.7745 30.59382),['الشرات'],
501,POINT (35.46741 33.77683),['الناعمة'],
502,POINT (66.03353 39.5421),['سنجرفغن'],
503,POINT (1.36504 35.36971),['تاهرت'],
504,POINT (41.89101 36.32446),['سنجار'],
505,POINT (55.93385 33.24359),"['رباط اب شتران', 'خان اشتران']",
506,POINT (70.79525 37.59609),['بذخشان'],
507,POINT (55.17875 36.33289),['بذش'],
508,POINT (-5.88806 34.82887),['بصرة'],
509,POINT (23.96719 31.99027),['جياد الصغير'],
510,POINT (38.98256 36.56338),['ديار مضر'],
511,POINT (69.42766 40.89646),['بسكث'],
512,POINT (66.88305 36.78497),['بلخ'],
513,POINT (47.95801 38.24076),['اذربيجان'],
514,POINT (55.28258 29.5607),['رباط بشت خم'],
515,POINT (52.68133 28.69894),"['بيابشوراب', 'دشت شوراب']",
516,POINT (4.53218 35.66309),['المسيلة'],
517,POINT (5.70399 35.58177),['نقاوس'],
518,POINT (43.78276 33.33483),['دمما'],
519,POINT (54.09036 29.95166),['خورستان'],
520,POINT (43.99014 28.46139),['الهبير'],
521,POINT (54.70209 30.12067),"['راذان', 'داذان']",
523,POINT (67.73524999999999 39.94338),['نوجكث'],
524,POINT (46.54442 13.67538),['احور'],
525,POINT (71.55377 40.02761),['رشتان'],
526,POINT (59.61287 36.232),['سناباذ'],
527,POINT (61.44101 35.31157),"['جبل الفضة', 'كوها سيم']",
528,POINT (45.12379 37.02695),['اشنه'],
529,POINT (40.56368 34.92311),['الفاش'],
530,POINT (35.18792 31.70926),['بيت لحم'],
531,POINT (6.8345 36.0868),['تيجس'],
532,POINT (10.80402 35.75548),['منستير'],
533,POINT (15.48403 38.14806),['ميقش'],
534,POINT (35.89165 33.86315),['عرجموش'],
535,POINT (30.97785 31.05159),['مسير'],
536,POINT (60.00916 35.63286),['نوكده'],
537,POINT (67.26184000000001 43.82577),"['صبران', 'صوران']",
538,POINT (50.65469 33.23683),['قنووان'],
539,POINT (15.02478 37.29252),['لنتيني'],
540,POINT (31.28494 30.97866),['نوسا'],
541,POINT (-6.55006 39.9627),['قرية'],
542,POINT (36.42208 35.99287),"['الارنط', 'الارند']",
543,POINT (41.07197 21.733),['الجدد'],
544,POINT (61.1747 34.61574),"['كوسوي', 'كوسري']",
545,POINT (54.27518 29.21368),['نيريز'],
546,POINT (66.78829 38.37384),['كندك'],
547,POINT (56.87872 34.16617),['بستداران'],
548,POINT (47.65158 40.79878),['قبلة'],
549,POINT (36.22768 36.41518),['بغراس'],
550,POINT (57.31039 30.11166),['ماهان'],
551,POINT (36.32185 34.71618),['بوقا'],
552,POINT (44.59672 33.09075),['المدائين'],
553,POINT (67.99605 40.23516),['بئر الحسين'],
555,POINT (60.33692 35.01995),['باخرز'],
556,POINT (3.18573 36.1099),['وادي المالح'],
557,POINT (57.89378 29.27422),['سرويستان'],
558,POINT (40.65491 35.49287),['الصوار'],
559,POINT (44.07982 14.80399),['الهان'],
560,POINT (35.41578 27.85039),['الصلا'],
561,POINT (61.22272 26.70943),['راسك'],
562,POINT (52.07774 35.75607),['دماوند'],
566,POINT (80.81976 7.60759),['سرنديب'],
567,POINT (66.30707 38.53462),['اسكيفغن'],
568,POINT (69.69101999999999 38.32824),['منك'],
569,POINT (45.44152 15.10298),['جوف مراد'],
570,POINT (31.02025 30.85291),['بطن الريف'],
571,POINT (8.275169999999999 33.88951),['قسطيلية'],
572,POINT (68.09011 36.22585),['سمنجان'],
573,POINT (44.00938 31.10097),['المغيثة'],
574,POINT (58.29802 28.6778),['جبال البارز'],
576,POINT (66.52549999999999 39.82347),['اوفر'],
577,POINT (-4.53948 34.11636),['مطماطة'],
578,POINT (43.43742 17.85975),['شرورة'],
579,POINT (48.79726 31.20731),['شوراب'],
580,POINT (35.19783 28.1703),['عينونة'],
581,POINT (-4.40368 36.98351),"['رية', 'ريه']",
582,POINT (54.13205 36.11206),['قومس'],
583,POINT (44.36455 33.05406),['نهر الملك'],
584,POINT (72.49720000000001 42.89268),['جول شوب'],
585,POINT (39.56501 24.40558),['ذو الحليفة'],
586,POINT (39.6759 31.9977),['الخفية'],
587,POINT (51.48549 33.07845),['رباط ابن رستم'],
588,POINT (48.45021 32.9865),"['الدز', 'قنطرة اندامش']",
589,POINT (-3.15111 40.6491),['وادي الحجارة'],
591,POINT (37.0673 19.28058),['بلاد البجة'],
592,POINT (55.96459 31.83238),['بهاوذ'],
593,POINT (30.78687 28.52624),['القيس'],
594,POINT (52.67428 30.09815),['قلعة سعيداباذ'],
595,POINT (66.8817 37.44577),['محلة القياسين'],
596,POINT (44.08509 14.2537),['وادي سحول'],
598,POINT (31.05262 30.43271),['سبك العبيد'],
599,POINT (9.16117 35.41674),['سبيبة'],
600,POINT (50.29766 30.6103),['اراجان'],
601,POINT (50.02954 35.0274),"['سوسنقين', 'سوسنقين', 'سونقين']",
603,POINT (49.60131 31.28576),"['رام هرمز', 'رامهرمز']",
604,POINT (44.84407 14.42679),['رداع'],
605,POINT (65.15512 38.07235),['قرية البخاريين'],
606,POINT (-7.90515 37.06463),"['خشنبة', 'اخشنبة']",
607,POINT (64.81783 32.6817),['بشلنك'],
608,POINT (52.04412 35.31676),"['كهدة', 'كهندة', 'كسب']",
609,POINT (50.92627 44.33997),['جزيرة سياه كوه'],
610,POINT (46.92023 33.58473),['ماسبذان'],
611,POINT (34.88482 31.95598),['لد'],
612,POINT (57.43023 36.98777),['اسفراين'],
613,POINT (43.36699 36.41022),['باعشيقا'],
614,POINT (-5.60437 34.09883),['وليلة'],
615,POINT (48.8094 33.90164),['بروجرد'],
616,POINT (44.10309 13.23247),['ذبحان'],
617,POINT (50.95356 33.08994),['مرج وزهر'],
618,POINT (68.40733 33.56409),"['غزنة', 'غزنين']",
619,POINT (42.62594 19.93935),['بيشة'],
620,POINT (64.6656 26.16004),"['كلوان', 'كلوان']",
621,POINT (55.74854 29.46102),['السيرجان'],
622,POINT (67.02922 30.58971),"['اسفبجاي', 'سفنجاوي']",
624,POINT (49.80777 30.96763),['الخابران'],
625,POINT (54.30902 29.77106),"['صهيه', 'صاهك']",
626,POINT (39.83119 38.61412),['شمشاط'],
627,POINT (34.80861 31.86252),['عاقر'],
628,POINT (43.25543 14.26412),['وادي رماع'],
630,POINT (58.26785 29.71534),['كشيد'],
631,POINT (72.24681 33.90757),['ويهند'],
632,POINT (55.71277 39.19825),['اخر'],
633,POINT (58.27354 31.41567),['بارسك'],
634,POINT (56.71727 29.85672),['خناب'],
635,POINT (49.04158 31.24752),"['ازم', 'اجم']",
636,POINT (48.71891 35.29415),['بارسيان'],
637,POINT (62.80686 38.0492),['رباط الحديد'],
638,POINT (41.30169 24.66756),['ربذة'],
639,POINT (42.25518 55.73456),"['الارثا', 'الارثانية']",
641,POINT (50.19216 36.52902),['نهر طالقانروذ'],
642,POINT (7.20287 36.05429),"['اركو', 'ركوة']",
644,POINT (61.88374 27.79777),"['خواش', 'خواص']",
645,POINT (44.13579 33.26692),['نهر عسى'],
646,POINT (56.35225 29.8855),['بهار'],
647,POINT (-4.31719 34.19475),"['قلعة كرماطة', 'كرماطة']",
648,POINT (-7.21996 37.23807),['لب'],
649,POINT (67.63175 37.84131),"['دارزنكا', 'دارزنجي']",
650,POINT (44.20922 32.74321),['نهر العلقمي'],
651,POINT (22.203 32.77902),"['حليمان', 'جب حليمان']",
652,POINT (-8.71712 39.22337),['شنترين'],
653,POINT (51.99227 30.77818),['اورد'],
654,POINT (66.2654 38.58192),['سونج'],
656,POINT (67.89454000000001 38.26337),['الصغانيان'],
657,POINT (65.86183 31.59434),"['بكراباذ', 'بكراواذ']",
658,POINT (62.58466 34.27292),['خيسار'],
659,POINT (50.19954 35.00944),['درواذ'],
660,POINT (78.2144 28.46951),['ابار'],
661,POINT (40.70599 31.64853),['الخطى'],
662,POINT (30.47267 31.19071),['سنباذة'],
663,POINT (30.49999 31.13129),['فيشة'],
664,POINT (46.6459 40.20714),['قلقاطوس'],
665,POINT (42.55713 39.1437),"['ملازكرد', 'ملازجرد', 'منازجرد']",
666,POINT (49.25084 35.59348),['اوذ'],
667,POINT (36.5062 28.37114),['تبوك'],
668,POINT (51.81266 31.35567),['سميرم'],
671,POINT (40.78158 34.679),['الفرضة'],
672,POINT (0.8273 35.67814),['منداس'],
673,POINT (44.72053 32.7443),['نهر كوثى'],
674,POINT (48.50179 39.33548),"['موغان', 'موغكان', 'موقان']",
675,POINT (6.2883 36.42482),['ميلا'],
676,POINT (31.51063 30.94376),['طمي'],
677,POINT (31.17223 30.45947),['اتريب'],
678,POINT (35.43774 31.86043),"['رحا', 'اريحا']",
679,POINT (62.59986 37.78994),"['كشميهن', 'كشماهن']",
681,POINT (71.66128999999999 42.59356),['شلجي'],
682,POINT (35.43299 33.22604),['مجدل سليم'],
683,POINT (61.08287 34.27729),['فركرد'],
685,POINT (33.89324 25.07556),['معادن الزمرذ'],
686,POINT (63.51568 34.72729),['شورمين'],
687,POINT (42.82847 18.87682),"['يبمبم', 'يبنبم']",
688,POINT (58.49109 28.88667),"['كرك', 'جرج']",
689,POINT (42.45438 31.86163),['الابيض'],
690,POINT (51.12283 28.49687),['نجيرم'],
691,POINT (35.71229 33.57083),['القرعون'],
692,POINT (50.65214 24.74231),['حمض'],
693,POINT (43.03243 14.44273),['غلافقة'],
694,POINT (36.43071 32.51503),['بصرى'],
696,POINT (-8.8413 30.50052),['ترقالة'],
697,POINT (57.66932 36.15624),['سابزوار'],
698,POINT (49.39342 35.12165),['طزرة'],
699,POINT (64.24579 35.72328),['طلقان'],
700,POINT (57.52541 22.86309),['نزوة'],
701,POINT (58.73846 28.65133),"['ريقان', 'ريكان']",
702,POINT (16.60839 31.09917),['سرت'],
703,POINT (60.25053 42.19314),['اردخيوه'],
705,POINT (37.57892 35.06025),['القسطل'],
706,POINT (53.70323 29.36324),['كث'],
707,POINT (53.78841 30.00577),['راس الدنيا'],
709,POINT (62.06561 32.35928),['فره'],
710,POINT (32.0824 31.16442),['تونة'],
711,POINT (48.48301 41.84983),['جسر سمور'],
713,POINT (44.38842 13.89347),['ميتم'],
714,POINT (39.59203 32.14778),"['القلوفي', 'العلوي']",
715,POINT (38.91206 36.34984),['عين الرومية'],
716,POINT (58.18338 28.12851),['جوي سليمان'],
717,POINT (61.65152 37.27393),['دندانقان'],
718,POINT (49.97179 30.77763),['دهليزان'],
719,POINT (42.21215 27.2743),['المنهب'],
720,POINT (73.67874999999999 30.12521),['نهر سندروذ'],
721,POINT (40.09518 34.93204),['العوامل'],
723,POINT (43.4995 12.6926),['المندب'],
724,POINT (54.99028 37.33269),['جرجان'],
725,POINT (67.41937 39.52707),['ورغشر'],
726,POINT (42.94507 14.82308),['عطنة'],
728,POINT (48.98488 34.95777),['بوزنجرد'],
729,POINT (59.88682 42.94872),['جويقان'],
730,POINT (44.27779 39.90562),"['جبل الحريث', 'جبل الحويريث']",
731,POINT (56.31341 28.85863),['خبر'],
732,POINT (60.26487 34.93776),"['مالن', 'كواخرز']",
733,POINT (70.50767 42.56503),['تمتاج'],
734,POINT (38.85976 25.46077),['حذة'],
735,POINT (52.62743 31.1799),['برم'],
736,POINT (48.39263 34.62225),['رذراور'],
737,POINT (47.82733 39.34245),"['بلخاب', 'تلخاب']",
738,POINT (58.63618 23.5437),['مسقط'],
739,POINT (52.2805 28.05331),"['مه', 'مى']",
740,POINT (41.46573 31.67372),['الجمع'],
741,POINT (54.47005 36.7886),['استارباذ'],
742,POINT (42.9665 36.27006),['الشحاجية'],
743,POINT (42.69682 18.63711),['جرش'],
744,POINT (63.44735 35.42618),['دزه'],
745,POINT (66.69217999999999 39.53329),"['مايمرغ', 'مايمرغ']",
746,POINT (57.70606 30.11166),['كثروا'],
747,POINT (68.43288 39.95781),['زامن'],
748,POINT (50.84351 32.09289),['سوجر'],
749,POINT (48.42279 34.83858),['زعفرنية'],
750,POINT (65.61472000000001 40.1917),['خرغانكث'],
751,POINT (40.29083 24.11089),['وادي العقيق'],
752,POINT (63.3667 35.5925),['مرو الروذ'],
753,POINT (70.22483 41.01789),['تونكث'],
755,POINT (48.5239 30.94139),['سوق الاربعاء'],
756,POINT (64.26931 39.34189),['ميان كال'],
757,POINT (54.624 31.76601),['الفهرج'],
758,POINT (52.39133 27.8168),['جم'],
759,POINT (67.80206 34.84737),['الباميان'],
760,POINT (39.23295 23.58141),['سقياء بنو غفار'],
761,POINT (68.40465 37.02412),['نهر جيحون'],
762,POINT (54.40794 28.5161),['روبنج'],
763,POINT (69.91616999999999 37.11046),['رستاق بيك'],
764,POINT (62.54722 35.60846),['بغشور'],
765,POINT (44.13666 31.49049),['الاذيب'],
766,POINT (69.45574999999999 41.11173),['بالايان'],
768,POINT (52.36712 30.03958),"['البيضاء', 'نسا']",
769,POINT (44.36973 32.87594),['جسر كوثى'],
771,POINT (56.94144 33.58656),"['طبس جيلكي', 'طبس التمر']",
772,POINT (64.81783 32.6817),['بشلنك'],
773,POINT (62.67861 36.29294),['اسداباذ'],
774,POINT (44.2995 17.58603),['نجران'],
775,POINT (-4.0521 39.88926),['طليطلة'],
776,POINT (75.26356 42.80107),['سارغ'],
777,POINT (63.54388 31.36919),"['رباط قهستان', 'رباط هفشيان']",
778,POINT (45.62659 34.49996),['قصر شيرين'],
779,POINT (64.83857 35.9347),"['اليهودية', 'جكوذان']",
780,POINT (62.64811 27.64173),"['جالق', 'جالك']",
781,POINT (40.86321 37.40165),['ثور عبدين'],
782,POINT (69.38051 39.30172),['مينك'],
783,POINT (71.97221 41.30084),['جدغل'],
784,POINT (67.58739 39.9712),['خرقانة'],
785,POINT (59.96927 29.91949),"['اسبيذ', 'اسفيد', 'سبيذ', 'سفيد', 'سبيج', 'سنيج']",
786,POINT (44.36844 32.24535),"['شاهي', 'ساهي']",
788,POINT (41.99451 36.65368),['ديار ربيعة'],
789,POINT (12.50893 37.98824),['اطرابنش'],
791,POINT (39.23589 24.01966),['رويثة'],
792,POINT (58.34327 29.10304),['بم'],
793,POINT (42.07352 31.70731),"['الحسى', 'الجسى']",
795,POINT (46.93427 34.43457),['الزبيدية'],
796,POINT (50.80266 30.74015),['صاهك'],
797,POINT (59.5047 42.39769),"['مزداخكان', 'مزداخقان']",
798,POINT (36.02865 32.88099),['نوى'],
799,POINT (-4.48761 31.87198),['وادي زيز'],
800,POINT (56.79227 33.89125),['سريش'],
801,POINT (37.98957 36.54651),['منبج'],
802,POINT (42.69682 20.04402),['بيشة'],
803,POINT (49.82612 31.39156),['تيرم'],
804,POINT (48.7573 33.44757),['دارقان'],
805,POINT (30.80708 31.4596),['بحيرة البرلس'],
806,POINT (55.86992 36.05824),['بيار'],
807,POINT (42.03339 26.41998),['سميراء'],
808,POINT (54.27518 29.21368),['نيريز'],
809,POINT (72.85751999999999 40.53599),['اوش'],
810,POINT (67.65863 39.46899),['بونجكث'],
811,POINT (30.66905 30.9872),['فرنوة'],
812,POINT (50.90695 34.63354),['قم'],
813,POINT (55.07205 36.45952),['بسطام'],
814,POINT (42.43096 37.04735),['فيشابور'],
815,POINT (68.19849000000001 40.3886),['بئر حميد'],
816,POINT (68.10841000000001 41.90165),"['نهر شاش', 'صيحون']",
817,POINT (49.71372 31.05807),"['حومة الزط', 'الزط']",
819,POINT (50.33529 29.23531),['جزيرة خرك'],
820,POINT (48.18559 40.16468),['نهر الكر'],
821,POINT (67.06451 39.31836),['درزده'],
822,POINT (40.69403 36.05814),['عربان'],
824,POINT (68.80969 40.71867),['بناكث'],
827,POINT (6.62915 35.49564),['دوفانة'],
828,POINT (40.55153 36.53446),['المجدل'],
829,POINT (31.0897 30.6876),['ططاء'],
830,POINT (42.39306 17.18513),['عطار'],
831,POINT (34.14753 14.94825),['بلاد الحبشة'],
832,POINT (57.96619 22.71138),['سمد'],
834,POINT (32.80433 25.99671),"['قفط', 'قفط']",
835,POINT (43.60422 34.69499),['نهر دجلة'],
836,POINT (51.78402 30.09815),"['جركان', 'خركان', 'كركان', 'الكرجان']",
837,POINT (44.18508 33.95808),['حربى'],
838,POINT (46.46676 32.54047),['نهر دجلة'],
840,POINT (62.4787 34.94152),['ببنة'],
841,POINT (57.7882 27.97676),['مغون'],
842,POINT (63.81969 35.61955),['رباط كرزوان'],
843,POINT (43.17773 15.28451),['وادي سردد'],
844,POINT (57.0129 27.93413),"['اردكان', 'سوركان']",
845,POINT (-4.39975 34.24946),['وادي ايناون'],
846,POINT (58.52604 31.68852),['نيمة'],
847,POINT (62.3861 31.9686),"['جزه', 'كزه']",
