,text_nt
5379,"['عارِف', 'حِساب', 'نَجْم', 'قَدَّم', 'مات', 'شَعْبان', 'ذَكَر', 'شَيْخ', 'نَبَأ']"
5380,"['الضرير', 'فِراش', 'خَزّان', 'والِد', 'المثرين', 'مُتَكَرِّر', 'سَفَر', 'رُبَّما', 'جاوَر', 'ذَكَر', 'شِدَّة', 'مُعامَلَة', 'مات', 'سَعَى', 'عَفا', 'ٱِبْن', 'مَضَى', 'ٱِلْتَقَى', 'طَرابُلْسِيّ']"
5381,"['ٱِلْتَقَى', 'مَقْدِسِيّ', 'ساكِن', 'بَيْت', 'مات', 'شُوال', 'رَخِي']"
5382,"['ٱِلْتَقَى', 'دِمَشْقِيّ', 'عَرَف', 'مات', 'رَجَب', 'فَضِيلَة', 'عَرَض', 'نِيابَة', 'حُكْم', 'أَب', 'ٱِقْتَصَر', 'تَكَسُّب', 'تِجارَة', 'رَحِم', 'ٱِبْن', 'مَضَى']"
5383,"['نائِب', 'حُكْم', 'كَثِير', 'ٱِشْتِغال', 'خَيْر', 'مات', 'شَعْبان', 'ذَكَر', 'شَيْخ', 'نَبَأ']"
5384,"['عَرَف', 'صاحِب', 'مَجْذُوب', 'ذَكَر', 'خَيْر', 'صَلاح', 'مات', 'رَجَب', 'سَمَّى', 'عَضّ', 'مُهْمَل', 'صَواب', 'مَضَى']"
5385,"['تاجِر', 'الخواجا', 'مات', 'رَبِيع', 'آخَر', 'حَمَل', 'دَفَن', 'مَعْلاة', 'رَخِي']"
5386,"['زَيْن', 'شَحْنَة', 'جامِع', 'عَرَف', 'مات', 'سَلْخ', 'رَمَضان']"
5387,"['ٱِبْن', 'خَطِيب', 'جامِع', 'السورين', 'إِنْسان', 'صالِح', 'ساكِن', 'منجمعا', 'ناس', 'التقلل', 'قَناعَة', 'ٱِسْتِحْضار', 'كَبِير', 'فِقْه', 'سَماع', 'جاز', 'جَلَس', 'شاهِد', 'قَلِيل', 'سَمِع', 'خِطابَة', 'ٱِسْتَأْنَس', 'رُؤْيَة', 'زار', 'مَرَّة', 'ودعالي', 'وَفاة', 'لَيْلَة', 'مُنْتَصَف', 'جُمادَى', 'رَحِم', 'إِيّا']"
5388,"['عَرَف', 'شَيْخ', 'صالِح', 'مُعْتَقَد', 'مات', 'رَبِيع', 'آخَر', 'ٱِثْنَتانِ', 'مَنْصُورِيّ', 'دَفَن', 'تُرْبَة', 'ظاهِر', 'باب', 'نَصْر', 'بَوّاب', 'سَعِيد', 'سَعِيد', 'مَضَى']"
