,text_nt
5608,"['مشطوب', 'ظاهِرِيّ', 'دَعا', 'ٱِتَّصَل', 'أُسْتاذ', 'خِدْمَة', 'أَمِير', 'سَلَّط', 'عَمَل', 'خاسكيا', 'ساقَى', 'دَوْلَة', 'اشرفيه', 'آخِر', 'أَمِير', 'طبلخاناه', 'قَدَّم', 'حَدّ', 'مات', 'حُجَّة', 'ساكِن', 'عاقِل', 'مُتَوَسِّط', 'سِيرَة', 'رَحِم']"
5609,"['أَزال', 'صِهْر', 'ٱِبْنَة', 'قُطْن', 'تَزَوَّج', 'تَرَدَّد', 'مَتْجَر', 'مات', 'جُمادَى', 'أُولَى', 'ٱِثْنَتانِ', 'ذَكَر', 'مُوَحَّد']"
5610,"['فاضِل', 'ٱِتِّباع', 'شَيْخ', 'ٱِشْتَغَل', 'كَثِير', 'حِفْظ', 'مُخْتَصَر', 'عِبادَة', 'أَب', 'قِسْم', 'أَب', 'الجود', 'فَرِيضَة', 'آخَر', 'إِمام', 'مَذْهَب', 'قَرَأ', 'مُخْتَصَر', 'أَصْلِيّ', 'مُناوِي', 'شَرْح', 'إِلْف', 'عِراقِيّ', 'دَبّ', 'دَرَج', 'ٱِخْتَصّ', 'شَيْخ', 'قُطْن', 'زاوِيَة', 'وَلِيّ', 'خِطابَة', 'قَرَأ', 'كَثِير', 'كَتَب', 'تَصَوُّف', 'ٱِشْتَهَر', 'صُحْبَة', 'رَئِيس', 'نال', 'واسِطَة', 'جُمْلَة', 'وَظِيفَة', 'قَرَأ', 'قِراءَة', 'كَثُر', 'مُراجَعَة', 'مَكان', 'شَرْح', 'نُخْبَة', 'بَرَع', 'فَرِيضَة', 'حِساب', 'مِيقات', 'باشَر', 'رُبَّما', 'عَمَل', 'رُبْع', 'شارَك', 'فَضِيلَة', 'مُسْتَحْضَر', 'مُخْتَصَر', 'كَثِير', 'مَحْفُوظ', 'حَرِيص', 'تَحْصِيل', 'ٱِسْتِفادَة', 'متوددا', 'خاصّ', 'مُلازِم', 'سَهَر', 'حِرْص', 'قِيام', 'تَضْيِيع', 'وَقْت', 'كَتَب', 'خُطَّة', 'كَثِير', 'سَمِع', 'كِتاب', 'عَزِيز', 'إِلّا', 'ٱِجْتَهَد', 'تَحْصِيل', 'أَقَرّ', 'عَضّ', 'طالِب', 'أَعاد', 'عَضّ', 'جِهَة', 'حَجّ', 'مَرَّة', 'آخَر', 'قُبَيْلَ', 'مَوْت', 'زَوْجَة', 'ٱِتَّصَل', 'مَوْت', 'شَيْخ', 'سَقَط', 'تَوَجُّه', 'بَعِير', 'ٱِنْقَطَع', 'نُخاعَة', 'مات', 'شُوال', 'ظَنّ', 'جاز', 'رَحِم', 'إِيّا']"
5611,"['خاسكيته', 'تامِر', 'ذَكَر', 'مَزِيد', 'تَغْفِيل', 'حَكَى', 'ضاهَى', 'حُكْم', 'أَخْرَج', 'قَطِيع', 'آخَر', 'عُمْر', 'بَقِي', 'بَطّال', 'مات', 'حَدّ', 'جاز', 'طَوِيل', 'نَحِيف', 'مُسْتَرْسِل', 'لِحْيَة', 'مُعَظَّم', 'ظاهِرِيّ']"
5612,"['ساقَى', 'أَمْر', 'وَلَد', 'رَأْس', 'نائِب', 'ظاهِرِيّ', 'جقمق', 'مات', 'سَقَط', 'أَعْلَى', 'سَلَّم', 'لَزِم', 'فِراش', 'مات', 'شابّ', 'جَمِيل', 'طَوِيل', 'خَفِيف', 'لِحْيَة', 'رَقِيق', 'عَلا', 'شُجاع', 'مِقْدام', 'رَشَق', 'عارِف', 'فَنّ', 'فُرُوسِيَّة', 'مُسْرِف', 'مَحا']"
5613,"['ماضِي', 'أَب', 'وَلَد', 'ٱِثْنَتانِ', 'ثَمانِمائَة', 'حِفْظ', 'قُرْآن', 'ٱِشْتَغَل', 'حَنَفِيّ', 'لَذِيذ', 'سَمِع', 'حَدَث', 'مَضَى']"
5614,"['أَخ', 'ٱِسْم', 'عَمَل', 'أَب', 'حَنَفِيّ', 'سَمِع', 'قَرَأ', 'فِقْه', 'سَعَى', 'مَحَلِّيّ', 'نَقِيب', 'جاوَر']"
5615,"['مَكِّيّ', 'ماضِي', 'إِخْوَة', 'أَب', 'رَفِيق', 'طائِف', 'عانَى', 'تِجارَة', 'خَدَم', 'ٱِبْن', 'وَخَى', 'دَخَل', 'أَصْل', 'قاهِرِيّ', 'الباسطي', 'سَمَّى', 'مَضَى']"
5616,"['أَخ', 'إِخْوَة', 'مُخاصِم', 'أَب', 'ثُبُوت', 'بَراءَة', 'تَنْفِيذ', 'ٱِسْتِيفاء', 'حَقّ', 'مُقْتَضَى', 'شاهِد', 'خُطَّة', 'سَمِع', 'مَضَى', 'المحمدين']"
5617,"['بَدَأ', 'أَضاف', 'دِين', 'ٱِشْتَهَر', 'شَهْر', 'ٱِسْم', 'ٱِقْتَصَر', 'إِيراد', 'لَقَب', 'مُضاف', 'دِين', 'خاصّ', 'عَضُد', 'رِضَى', 'وَجِيه', 'أَثار', 'دِين']"
5618,"['قَتَل', 'أَوائِل', 'قَضِيَّة', 'مشروحه', 'حادِث']"
5619,"['أَصِيل', 'شَيْخ', 'قَدَّم', 'بَلَد', 'سَمِع', 'رِوايَة', 'عِراقِيّ', 'مَنْسُوب', 'بَيْت', 'أَزال', 'أَفْضَل', 'أَكْمَل']"
5620,"['أَخ', 'وَلَد', 'سَعَى', 'وَحَّد', 'قاضِي']"
5621,"['كِتاب', 'سَمِع', 'شَيْخ', 'ٱِبْن', 'ٱِبْن', 'وَخَى', 'تِلْمِيذ', 'مات', 'سَنّ', 'عالِي', 'ٱِثْنَتانِ', 'زاوِيَة', 'ظاهِر', 'دَفَن', 'تُرْبَة', 'مُشَرِّف', 'بَرَكَة', 'أَرْض', 'مُعْتَقَد', 'نَقِيب', 'مالِكِيّ', 'مَوْقِع', 'صِناعَة', 'عَصْر', 'سَبَق', 'مات', 'شَيْخ', 'طائِفَة', 'عَبّاسِيّ', 'المحمدين', 'والطلخاوي', 'والطنبدي', 'صُوفِيّ', 'قاضِي', 'مات', 'شُوال', 'والقلعي', 'والمارديني', 'شاهِد', 'مُقِيم', 'باب', 'مات', 'جُمادَى', 'أُولَى', 'رَخِي', 'خِدْمَة', 'مات', 'خَلْق', 'سَمَّى', 'ٱِبْن', 'ظَهِيرَة', 'ٱِبْن', 'ٱِبْن', 'ٱِبْن', 'بَلَد', 'سَمِع', 'شَيْخ', 'صاحِب', 'جَماعَة', 'المحمدين']"
5622,"['جَماعَة', 'المحمدين', 'ٱِبْن', 'ٱِسْم', 'جَماعَة', 'ٱِبْن', 'ٱِبْن', 'ٱِبْن', 'ٱِبْن', 'ٱِبْن', 'نَقِيب', 'ٱِبْن', 'ٱِبْن', 'ٱِبْن', 'خَطِير', 'والِد', 'ضَرْبَة', 'سُلْطان', 'أَمْر', 'إِدْخال', 'مُقَشَّر', 'نَفْي', 'خَصْم', 'ٱِسْتَرْضَى', 'سُلْطان', 'وَزِير', 'ٱِبْن', 'مات', 'ٱِثْنَيْنِ', 'قَعْدَة', 'عُقُوبَة', 'ٱِشْتَرَى', 'مَبْلَغ', 'كَبِير', 'جِدّ', 'كَوْن', 'ٱِلْتَزَم', 'قَدْر', 'كَبِير', 'ٱِسْتَخْلَص', 'جَماعَة', 'تَسَلُّم', 'بادَر', 'إِتْلاف', 'ذَكَر', 'عَيْنِيّ', 'ٱِسْم', 'أَب', 'قَرْن', 'سَمَّى', 'كِتاب', 'مَمْلُوك', 'الشيخونيه', 'ٱِبْن', 'ٱِسْتَقَرّ', 'جِهَة', 'أَب', 'عَضّ', 'التداريس', 'أَبَى', 'قاضِي', 'أَب', 'تَرَدَّد', 'أَمِير', 'رُبَّما', 'حَضَر', 'أَلْيَس', 'بَلَغ', 'رَجَب', 'سَعَى', 'تَوَفَّى', 'حَرَّر', 'هِنْدِيّ', 'ظَنّ', 'كنبايه', 'عَمَل', 'أَزال', 'أَقام', 'أَخْرَج', 'إِلّا', 'مُعْتَنَى', 'عِبادَة', 'خَيْر', 'ناس', 'ٱِعْتِقاد', 'ٱِعْتِقاد', 'مات', 'رَبِيع', 'دَفَن', 'أَسْفَل', 'وَصِيَّة', 'صَلاة', 'مَسْجِد', 'حَرام', 'بَلَغ', 'ذَكَر', 'ٱِسْم', 'ٱِسْتَرْشَد', 'كَثِير', 'مَسْأَلَة']"
5623,"['هٰكَذا', 'راوَنْد', 'آخِذ', 'شَيْخ', 'آخَر', 'غَلَب', 'ظَنّ', 'مَيْسُور', 'مَعْرُوف', 'كَثْرَة', 'مُعاصِر', 'دُولاب', 'مات', 'ٱِبْن', 'ٱِثْنانِ', 'شامِيّ', 'تاجِر', 'مات', 'مُحَرَّم', 'دَفَن', 'قُرْب', 'آخَر', 'ٱِسْم', 'ٱِبْن', 'حَنَفِيّ', 'سَمِع', 'ٱِبْن', 'مَضَى', 'المحمدين', 'أَخ', 'مات', 'رَبِيع', 'آخَر', 'سَعَى', 'ٱِبْن', 'ماضِي', 'أَب', 'سَمِع', 'ٱِبْن', 'قاضِي', 'ٱِبْن', 'قاضِي', 'ٱِبْن', 'حَصَى', 'ٱِثْنانِ', 'ٱِسْم', 'ٱِسْم', 'جَدّ', 'آخَر', 'ٱِسْم', 'جَدّ', 'مات', 'جُمادَى', 'أُولَى', 'ٱِثْنَتانِ', 'ٱِدَّعَى', 'والِد', 'دَهْشَة', 'آخِر', 'ٱِسْم', 'تَوَقُّف', 'كَوْن', 'أَيْض', 'ٱِبْن', 'مالِكِيّ', 'ٱِسْم', 'ناظِر', 'ٱِسْتَقَرّ', 'كَرِيم', 'باشَر', 'أَمِير', 'سُلْطان', 'مَلَك', 'سَلَّط', 'قَرَّر', 'ناظِر']"
5624,"['ٱِبْن', 'ٱِبْن', 'أَمانَة', 'ٱِبْن', 'مُدَرِّس', 'شَرِيفِيّ', 'إِنْشاء', 'ٱِبْن', 'عَمّ', 'أَب', 'وَلِيّ', 'حُكْم', 'مَرَّة', 'مات', 'ٱِبْن', 'مُلَقِّن', 'حَفِيد', 'وَلَد', 'والخانكي', 'عَبّاسِيّ', 'والسخاوي', 'والصمنودي', 'مَحَلِّيّ', 'مَضَى', 'قَرِيب', 'مَدْعُوّ', 'باشَر', 'مَشْيَخَة', 'وِجْهَة', 'تَلَقَّى', 'أَب', 'لاذ', 'قاضِي', 'ناس', 'مُبْتَلّ', 'لَذِيذ', 'خائِف', 'تَرَقَّب', 'رافِع', 'أَكَل', 'جارِي', 'نَظَر', 'زِمام', 'فَيْرُوز', 'سُلْطان', 'خَصّ', 'مُصادَر', 'كَلام', 'كَثِير', 'داهِي', 'عالَم', 'تَكَرَّر', 'حُجَّة', 'أَظْهَر', 'ٱِعْتِقاد', 'صالِح', 'غَرَض', 'باع', 'دَوْر', 'وَظِيفَة', 'أَثاث', 'ظُهْر', 'مَكَث', 'تَرْسِيم', 'تارِيخ', 'سَعَى', 'آخِذ', 'مات', 'مال', 'كَثِير', 'صولح', 'إِخْوَة', 'طَلَب', 'وَرِث', 'مُسْتَغْرِق', 'قَرِيب', 'والقمصي', 'مَحَلِّيّ', 'آخِر', 'قَرِيب', 'ساكِن', 'مات', 'جُمادَى', 'آخِرَة', 'طاعُون', 'والوجيزي', 'تاجِر', 'شُرْب', 'شَيْخ', 'سُوق', 'ٱِسْتَقَرّ', 'مَشْيَخَة', 'بَدِيل', 'شَخْص', 'أَشْبَه', 'رَأْس', 'رَأْس', 'مُعْتَقَد', 'ٱِتَّفَق', 'تَلْبِيس', 'مَلِك', 'أَشْرَك', 'ضَرْب', 'إِيداع', 'مُقَشَّر', 'مَأْتَى', 'سَعَى']"
5625,"['خَطِيب', 'مَنْصُورِيّ', 'ٱِبْن', 'سابِق', 'شَيْخ', 'جَلِيل', 'مُتَقَدِّم', 'سُلُوك', 'تَجَرُّد', 'نَظْم', 'كَثِير', 'جُلَّة', 'خُطَّة', 'قَدَّم', 'زار', 'مَنَى', 'جاز', 'سَلَك', 'فَضْل', 'ماضِي', 'حَكَى', 'كَثِير', 'خَبَر', 'ضَبَط', 'والبساطي', 'سَمِع', 'شَيْخ', 'نَسَب', 'نَحَوِيّ', 'ماهِر', 'عَرَب', 'حَسَن', 'تَدْرِيب', 'ٱِنْتَفَع', 'شَيْخ', 'وَلِيّ', 'مَشْيَخَة', 'ظَنّ', 'فَرَج', 'صَحْراء', 'ٱِسْتَقَرّ', 'شَيْخ', 'شَيْخ', 'مُفْتِي', 'قَتَل', 'خُرُوج', 'نائِب', 'ٱِثْنَتانِ', 'بَوّاب', 'الزماميه', 'مات', 'جُمادَى', 'أُولَى', 'رَخِي', 'نَجّار', 'نَزَل', 'مات', 'لَيْلَة', 'مُسْتَهَلّ', 'مُحَرَّم', 'سَعَى', 'مُبارَك', 'كَثِير', 'طَواف', 'تِلاوَة', 'نَظَر', 'فِعْل', 'خَيْر', 'قُطْن', 'رَحِم', 'إِيّا']"
5626,[]
5627,"['جَماعَة', 'قاضِي', 'الشيخونيه', 'ٱِسْم', 'مات', 'سَعَى', 'ثَمانِمائَة', 'نَقِيب', 'مُناوِي']"
5628,"['رِضَى', 'رِضَى', 'غَزِّيّ', 'ٱِبْن', 'مات', 'نِسْبَة', 'خاف', 'بَلَد', 'صَفِيّ', 'دُخان', 'أَزال']"
5629,['مُناوِي']
5630,"['سَمِع', 'ٱِبْن', 'ٱِبْن', 'عَمّ', 'سَمِع', 'سَمِع', 'شَيْخ', 'والسخاوي', 'أَخ', 'أَكْثَر', 'تلقيب', 'والِد', 'مُقِيم', 'سَطْح', 'جامِع', 'حاكِم', 'ناس', 'ٱِعْتِقاد', 'ٱِنْقَطَع', 'أَخْرَج', 'مَنْزِل', 'إِلّا', 'ٱِغْتِسال', 'مات', 'جِنازَة', 'مَشْهُود', 'شَيْخ', 'نَبَأ', 'مالِك', 'مَذْهَب', 'رافَق', 'قَرِيب', 'قاضِي', 'طَلَب', 'فِقْه', 'حَضَر', 'قَصَد', 'سَلام', 'طَلَب', 'دُعاء', 'رَحِم', 'إِيّا', 'حَضَر', 'جارِي', 'قَرَأ', 'هِدايَة', 'نَبَّه', 'شَرْح', 'شَيْخ', 'آخَر', 'تَرْجَمَة', 'نَبَأ', 'أَبَى', 'حُكْم', 'مُحِبّ', 'عِراقِيّ', 'أَبَى', 'حُكْم', 'أَيْض', 'والمراغي', 'سَمِع', 'شَيْخ', 'حَرْف', 'مُهْمَل']"
5631,['أَخ']
5632,"['ٱِبْن', 'ذَهَبِيّ', 'ٱِسْم', 'كَنَى', 'كُنْيَة', 'قِبْطِيّ', 'ٱِسْم', 'زَوْجَة', 'ٱِبْنَة', 'مَنْزِلَة', 'باشَر', 'جِهَة', 'مات', 'حُجَّة', 'عَفا', 'ظَنّ', 'مُلَقَّب', 'مِرْفَعَة', 'كاتِب', 'مَمْلُوك', 'كِتاب', 'مَمْلُوك', 'رَئِيس', 'كَحِل', 'مات', 'حُجَّة', 'سَعَى', 'ٱِسْتَقَرّ', 'رِئاسَة', 'كَحِل', 'إِخْوَة', 'خادِم', 'والِد', 'فاضِل', 'جَماعَة', 'خادِم', 'الشيخونيه', 'قَرَأ', 'عَرَبِيّ', 'حَنَفِيّ', 'آخَر', 'لَقَّب', 'مَخْدُوم', 'زَيْن', 'تَزَوَّج', 'ٱِبْنَة', 'واستولدها', 'قَرْن', 'ظَنّ', 'وَزِير', 'كَسِيح', 'وَلِيّ', 'نَظَر', 'وَقْت', 'مات', 'جُمادَى', 'أُولَى', 'مَأْسُوف', 'وَصَف', 'ظُلْم', 'كاتِب', 'سِرّ', 'والكماخي', 'مِصْرِيّ', 'آخِر', 'مَلِك', 'ناظِر', 'الخواص', 'ٱِبْن']"
5633,"['ٱِبْن', 'سَمِع', 'مات', 'قَعْدَة', 'رَخِي', 'ٱِثْنانِ', 'ٱِسْم', 'مُتَقَدِّم', 'مُتَأَخِّر', 'شاهِد', 'عَرَف', 'مُطْلَق', 'لَقِي', 'ثَمانِمائَة', 'ٱِسْتَجاز', 'كَوْن', 'لَقِي', 'صَحابِيّ', 'ٱِسْم', 'وَصَف', 'زاهِد', 'كابَر', 'الزهاد', 'سافَر', 'كَثِير', 'ناحِيَة', 'أَرْض', 'والداديخي', 'الضرير', 'خَطِيب', 'جامِع', 'مَيْدان', 'مات', 'جُمادَى', 'أُولَى', 'دَفَن', 'قُرْب', 'مَأْنُوس', 'خُطْبَة', 'صَلَّى', 'كَثِير', 'رَحِم', 'قُدْسِيّ', 'مُحْدَث', 'صاحِب', 'شَيْخ', 'كَسَب', 'شَهادَة', 'حانُوت', 'مُواجِه', 'حانُوت', 'مُجَهَّز', 'قُرْب', 'وِكالَة', 'خَيْر', 'مات', 'راوَنْد', 'يَمَن', 'سَمِع', 'خَتْم', 'شارَك', 'ٱِبْن', 'غَلَب', 'ظَنّ', 'مَعْمَل', 'مُجاوِر', 'سَعَى', 'مُناوِي', 'شارِح', 'مَنار', 'لَقِي', 'رَخِي', 'وَفاة']"
5634,"['أَعْيان', 'ذَكَر', 'جَهْوَرِيّ', 'صَوْت', 'مات', 'رَبِيع', 'جُمادَى', 'أُولَى', 'سَعَى', 'كَفّ', 'آخَر', 'شافِعِيّ', 'ٱِسْم', 'جَدّ', 'مَضَى', 'المحمدين', 'ٱِبْن', 'بِطالَة', 'أَبْناء', 'ٱِبْن', 'رُكْن', 'المحمدين', 'سَمَّى', 'آباء', 'ٱِبْن', 'كاتِب', 'وَرْشَة', 'قِبْطِيّ', 'لَقَّب', 'مَضَى', 'نَصْر', 'مات', 'رَخِي', 'شَيْخ', 'نَبَأ', 'يَمَن', 'سَمِع', 'شَيْخ', 'آخِر', 'ٱِسْم', 'تَزَوَّج', 'أُخْت', 'شاعِر', 'أَزال', 'مَدْح', 'شَيْخ', 'نَظَّم', 'هَجا', 'تِلْمِيذ', 'عَرَف', 'سَمِع', 'حَدِيث', 'جاء', 'مُسَلْسَل', 'قَرَّر', 'ناس', 'ٱِشْتَهَر', 'رَوَى', 'الضوي', 'مَدار', 'قَوْل', 'مَسْرُوق', 'سِلْسِلَة', 'مِصْرِيّ', 'مَعْرُوف', 'مُخْتَصَر', 'رَوْضَة', 'وَكِيل', 'بَيْت', 'مال', 'مات', 'رَخِي', 'يَمَن', 'سَمِع', 'شَيْخ', 'ٱِبْن', 'أَزال', 'يَمَن', 'سَمِع', 'شَيْخ', 'قاضِي', 'سافَر', 'نائِب', 'سودون', 'ناب', 'حُكْم', 'ٱِنْفِصال', 'مَخْدُوم', 'أَبَى', 'أَيْض', 'مَخْدُوم', 'مات', 'فَتْح', 'مُهْمَل', 'تَشْدِيد', 'ذَكَر', 'شَيْخ', 'نَبَأ', 'فِراش', 'مات', 'ٱِثْنَتانِ', 'رَخِي', 'أَزال', 'مِصْرِيّ', 'مات', 'رَخِي', 'شَيْخ', 'نَبَأ', 'مُعِيد', 'حَنَفِيّ']"
5635,"['والاذرعي', 'كاتِب', 'سِرّ', 'كاشِف', 'مات', 'شَعْبان', 'مَوْجُود', 'كَثِير', 'جِدّ', 'شَيْخ', 'نَبَأ', 'مات', 'رَخِي', 'شَيْخ', 'أَيْض', 'والقوصي', 'ٱِثْنانِ', 'ٱِسْم', 'ناسِخ', 'الضرير', 'مات', 'رَبِيع']"
5636,"['بَدَل', 'عَدَل', 'باشَر', 'جامِع', 'مات', 'آخَر', 'أَزال', 'السيوفيه', 'والمكراني', 'مُناوِي', 'الكازروني', 'مَدَنِيّ', 'الايجي', 'حَفِيد', 'وَلَد', 'وَخَى']"
5637,"['ٱِبْن', 'المخبزي', 'ٱِبْن', 'ٱِبْن', 'سَمِع', 'ٱِبْن', 'شَيْخ', 'طائِفَة', 'مات', 'قَعْدَة', 'بَدْر', 'مات', 'سَعَى', 'نَجِيب', 'حاذِق', 'أَب', 'جَنَّة', 'حَنَفِيّ', 'شاهِد', 'باب', 'رَفِيق', 'شافِعِيّ', 'حَفِظ', 'إِشْعار', 'ٱِسْم', 'مات', 'مُحَرَّم', 'وَكِيل', 'الحزمي']"
5638,"['مات', 'لَيْلَة', 'عِيد', 'فُطْر', 'رَخِي', 'مَلِك']"
5639,['ضِياء']
5640,"['مات', 'ذَكَر', 'شَيْخ', 'نَبَأ']"
5641,"['ظَهِير', 'دِين']"
5642,"['المحمدين', 'والانبابي', 'ٱِثْنانِ', 'وَلِي', 'قَضاء', 'قاضِي', 'ناظِم', 'مُفْرَدات', 'أَخ', 'ٱِبْن', 'نائِب', 'أَتَى', 'فَصْل', 'نِظامِيّ', 'ٱِبْن', 'حَفِيد', 'قاضِي', 'سكندريه']"
5643,"['أَمِير', 'شَرِيف', 'وَلِيّ', 'وِزارَة', 'مِصْرِيّ', 'شَدّ', 'دِيوان', 'مِرار', 'الحجوبيه', 'أَصْغَر', 'مَأْتَى', 'مُتَوَلِّي', 'ذَكَر', 'ناظِر', 'مَشْكُور', 'مات', 'ذَكَر', 'شَيْخ', 'نَبَأ', 'مات', 'قَعْدَة', 'رَخِي', 'مات', 'قَصَب', 'بَلَغ', 'أَشْرَف', 'مَوْت', 'جَهَّز', 'ٱِحْتِياط', 'مَوْجُود', 'صَحِب', 'رُكْبَة', 'حَمَل', 'بَعَث', 'طَلَب', 'زَوْجَة', 'فَحْص', 'سائِر', 'مال', 'تَجَهَّز', 'صُحْبَة', 'رُكْبَة', 'تاجِر', 'مات', 'شَيْخ', 'سَعِيد', 'سَعِيد', 'حَرَّر', 'ظَنّ']"
5644,"['والِد', 'تَقَدَّم', 'مُباشِر', 'خَدَم', 'جِهَة', 'عَرَف', 'حِذْق', 'مَعْرِفَة', 'دُرْبَة', 'ٱِسْتَقَرّ', 'كِتابَة', 'مَمْلُوك', 'أَثَر', 'ضَخْم', 'كُثْر', 'خِدْمَة', 'حاشِيَة', 'ٱِرْتَقَى', 'نال', 'كِتاب', 'مَمْلُوك', 'حِشْمَة', 'أَدَب', 'كَرَّم', 'جَمُل', 'مات', 'سَلْخ', 'حُجَّة', 'دَفَن', 'مُسْتَهَلّ', 'ٱِثْنَتانِ', 'كُهُول', 'ٱِبْن', 'الجيعان', 'والحوفي', 'أَزال']"
5645,"['مَوْقِع', 'دَسْت', 'فاضَل', 'ذَكِيّ', 'مات', 'شُوال', 'بَلَغ', 'قارَب', 'ذَكَر', 'شَيْخ', 'نَبَأ', 'أَتَى', 'نَسَب', 'كُرْكِيّ']"
5646,"['ٱِبْن', 'سَمِع', 'شافِعِيّ', 'لَقَّب', 'قَرِيب', 'شَيْخ', 'الباسطيه', 'مَكِّيّ', 'صاحِب']"
5647,['ٱِثْنانِ']
5648,"['مُكَبِّر', 'مُقام', 'حَنَفِيّ', 'حَرام', 'مات', 'شَعْبان']"
5649,"['أَخ', 'سَمِع', 'قَرِيب']"
5650,"['وَلِيّ', 'نَظَر', 'دِيوان', 'مُفْرَد', 'نَظَر', 'دَوْلَة', 'تَزَوَّج', 'ٱِبْنَة', 'مَأْتَى', 'وَلَّد', 'مَوْت', 'مُمَيَّز']"
5651,"['كاتِب', 'مستوفي', 'باشَر', 'نَظَر', 'نِيابَة', 'مُتَوَفَّى', 'ٱِشْتَرَى', 'بَيْت', 'شَيْخ', 'جامِع', 'مَوْت', 'عُمْر', 'مَأْتَى', 'مات', 'جُمادَى', 'آخِرَة', 'سَعَى', 'جِهَة', 'دِينِيّ', 'تَصَوُّف', 'قِراءَة', 'شُبّاك', 'عَفا', 'أَخ', 'شَيْخ', 'مُعْتَقَد', 'فَخْر', 'مات', 'دَفَن', 'شَيْخ', 'خانَق', 'مات', 'ٱِسْتَقَرّ', 'قَعْدَة', 'جَلال', 'عُود', 'بَدْء', 'شَيْخ', 'مات', 'جُمادَى', 'آخِرَة', 'عَرَض', 'طَرابُلْسِيّ', 'قَعْدَة', 'أَجاز']"
5652,"['رَجُل', 'صالِح', 'الذاكر', 'كَثِير', 'عِبادَة', 'ذَكَر', 'مديم', 'جَماعَة', 'مُلازِم', 'مات', 'شَهِيد', 'شُوال', 'سَقَط', 'غَلَب', 'دِمَشْقِيّ', 'أَلْيَس', 'حاجِز', 'جِنازَة', 'مَشْهُود', 'خَطّ', 'نِسْبَة', 'سَيِّد', 'قِوام', 'دِين']"
5653,"['تاجِر', 'مات', 'لَيْلَة', 'ٱِسْتِهْلال', 'رَجَب', 'حَمَل', 'مَعْلاة', 'دَفَن']"
5654,"['حَنْبَلِيّ', 'ٱِبْن', 'خَيْر', 'جكم', 'عَلِيق', 'صَيْرَفِيّ']"
5655,"['ٱِبْن', 'ٱِبْن', 'مَدْعُوّ', 'سَمِع', 'ٱِبْن', 'ٱِبْن', 'الكامليه']"
5656,"['لِسان', 'دِين']"
5657,"['أَخ', 'شَرَف', 'دَرَّب', 'مُباشِر', 'خَدَم', 'تَحَدَّث', 'مُباشَرَة', 'مَنْزِلَة', 'أَسْر', 'تَرَقَّى', 'لاستاداريه', 'ذَخِيرَة', 'بَلَد', 'شامِيّ', 'وَلِيّ', 'وِزْر', 'والاستاداريه', 'مَرَّة', 'وِلايَة', 'مُسْتَهَلّ', 'جُمادَى', 'أُولَى', 'مُؤَيِّد', 'مُحاسَبَة', 'وِلايَة', 'أُولَى', 'شُوال', 'باشَر', 'بَشاشَة', 'تَواضُع', 'حَسَن', 'سِيرَة', 'رِفْقَة', 'نِسْبِيّ', 'صِغَر', 'قَصْر', 'واهِي', 'مَرَّة', 'ضَرْب', 'مُصادَر', 'دام', 'حَبَس', 'أُولَى', 'جَرِيمَة', 'ال', 'أَمْر', 'وَسْط', 'رَبِيع', 'سَعَى', 'صاحِب', 'حَمّام', 'زُقاق', 'كَحِل', 'والعمائر', 'غَيْط', 'مَحا', 'إِيّا', 'مَدَنِيّ', 'سَمِع', 'كاتِب', 'حاصِل', 'خاصّ', 'عَرَف', 'مَخْبَز', 'مات', 'جُمادَى', 'سَمَّى', 'بَطِيء', 'حَرَكَة', 'رَكَّب', 'حِمار', 'أَخ', 'باشَر', 'إِسْطَبْل', 'مَأْتَى', 'ٱِسْتَقَرّ', 'مَجْد', 'مُعَيَّن', 'كاتِب', 'الدخيره']"
5658,"['كاتِب', 'ٱِبْن', 'ٱِثْنانِ', 'ٱِسْم', 'قاضِي', 'ٱِبْن', 'قاضِي', 'مَكِّيّ', 'قَرِيب', 'طَبِيب', 'باشَر', 'رِئاسَة', 'كَحِل', 'وَقْت', 'مات', 'حُجَّة', 'نَقِيب', 'جَيْش', 'عَصَبَة', 'أَحْمَد', 'والتروجي', 'قاضِي', 'نائِب', 'إِمام', 'ٱِثْنانِ', 'ٱِبْن', 'ٱِبْن', 'عَمّ', 'ٱِبْن']"
5659,"['عَرَف', 'أَخ', 'مات', 'لَيْلَة', 'رَبِيع', 'سَعَى', 'صاحِب', 'مُصَنَّف', 'جِهاد', 'تَرْجَمَة', 'شَيْخ', 'حادِث', 'نَبَأ', 'شَيْخ', 'قَرَأ', 'سَمِع', 'صَحِيح', 'ذَكَر', 'مُعَمَّر', 'رَوَى', 'شَيْخ', 'أَزال']"
5660,['سَمِع']
5661,"['آخِر', 'قاضِي', 'قَتَل', 'خُرُوج', 'نائِب', 'ٱِثْنَتانِ', 'مَنْسُوب', 'دَرْب', 'وَلِيّ', 'قَضاء', 'قَضاء', 'عَسْكَر', 'طَلَب', 'تَوَلَّى', 'قَضاء', 'إِشارَة', 'مُدَّة', 'كَبِير', 'حَنَفِيّ', 'وَلِيّ', 'تَوَلَّى', 'قَضاء', 'قَضاء', 'عَسْكَر', 'دار', 'مِصْرِيّ', 'أَقام', 'ضَعِيف', 'مَأْتَى', 'رَجَب', 'ذَكَر', 'شَيْخ', 'نَبَأ', 'ٱِخْتِصار']"
