,what,precision,recall
0,locs,82.88288288288288,82.14285714285714
1,pers,80.06644518272425,94.50980392156862
2,misc,72.72727272727273,32.0
3,orgs,0.0,0.0
4,dates,89.53488372093024,100.0
5,day,100.0,100.0
6,month,100.0,100.0
7,year,100.0,100.0
8,category,70.11494252873564,100.0
9,place,20.689655172413794,100.0
