place,geometry,toponyms,value_counts
Q4804445,Point(39.5244 21.8411),"['الشاميه', 'الشامية']",15.0
Q20304022,Point(43.424722222 16.077777777),['الشامية'],15.0
Q17413138,Point(36.204843 35.009067),['الكاملية'],14.0
Q4704221,Point(42.6431 16.9403),['الخشابية'],13.0
Q12225262,Point(43.88629 13.47048),"['الجبل', 'عزلة الجبل']",12.0
Q12225265,Point(44.21574 14.75629),"['الجبل', 'عزلة الجبل']",12.0
Q187346,Point(6.614722222 36.365),"['البلاد, سيرتا', 'قسنطينة']",11.0
Q2215485,Point(5.9 34.75),"['سيدي عقبة', 'الجزائر']",10.0
Q1649028,Point(0.46666667 35.73333333),"['المطمر', 'الجزائر']",9.0
Q1847129,Point(3.49412 36.2866),"['العزيزية الجزائر, العزيزية', 'الجزائر', 'العزيزية']",9.0
Q310751,Point(34.275997222 26.109072222),['القصير'],9.0
Q3494688,Point(31.936944444 31.158055555),['المنزلة'],9.0
Q1649202,Point(2.93361111 36.24444444),"['اولاد ابراهيم', 'الجزائر']",9.0
Q20307873,Point(43.803055555 13.487222222),['المنزلة'],9.0
Q3049701,Point(6.88229 36.1117),"['الميرية, الميرية', 'الجزائر', 'العامرية', 'ام البواقي']",9.0
Q12211543,Point(35.383333333 33.533333333),"['درب السيم', 'درب']",9.0
Q1649739,Point(8.30094 35.0107),"['ام علي', 'ام علي', 'الجزائر']",9.0
Q3561,Point(3.058611111 36.776388888),"['الجزائر العاصمة, مدينة الجزائر', 'الجزائر']",9.0
Q195410,Point(36.579722222 34.508888888),['القصير'],9.0
Q2223571,Point(3.5922 36.66855),"['بني عمران', 'الجزائر']",9.0
Q12188195,Point(43.009499 15.329127),"['الزيدية', 'الحديدة']",8.0
Q12192739,Point(43.15391 14.83069),"['المراوعه', 'الحديدة']",8.0
Q20304917,Point(43.327222222 16.231666666),['البركة'],8.0
Q20304921,Point(43.747222222 16.929166666),['البركة'],8.0
Q12187303,Point(43.055048 14.637019),"['الدريهمي', 'الحديدة', 'الدريهمي', 'الحديدة']",8.0
Q20298908,Point(43.7975 13.468611111),['القبة'],8.0
Q12188149,Point(42.995821 15.72377),"['الزهره', 'الحديدة', 'الزهره', 'الحديدة']",8.0
Q2552984,Point(22.25 32.766666666),"['القبه, مدينة القبة', 'القبة']",8.0
Q12251480,Point(43.486261 14.497889),"['يابس', 'الحديدة']",8.0
Q4916378,Point(38.8597 23.8203),['البركة'],8.0
Q20305256,Point(45.059444444 14.285555555),['القبة'],8.0
Q12234618,Point(43.369672 14.509542),"['كدف خضير', 'الحديدة']",8.0
Q20303603,Point(43.269166666 17.110555555),['القبة'],8.0
Q20303595,Point(43.302777777 16.461666666),['القبة'],8.0
Q12209794,Point(43.480624 13.930988),"['حيس', 'الحديدة']",8.0
