,Automated,Manually,similarity_score
4,أبي عبد الله بن الخباز,أبي عبد الله بن الخباز,100.00000000000003
5,محمد بن عمر السلاوى,محمد بن عمر السلاوى,99.99999999999997
6,داود بن سليمان,داود بن سليمان,99.99999999999999
7,الشمس بن النقيب,الشمس بن النقيب,99.99999999999999
11,إبراهيم بن الشهاب محمود,الجمال ابراهيم بن الشهاب محمود ,62.99407883487119
12,ابن الوردي,ابن الوردي,100.00000000000003
13,أبي الفرج بن عبد الهادي,ابي الفرج بن عبد الهادي ,82.49579113843055
14,عبد الرحمن بن أحمد المرداوي,عبد الرحمن بن احمد المرداوي ,70.71067811865474
16,زينب ابنة الكمال,زينب ابنة الكمال,99.99999999999999
17,عبد القادر بن القرشية,عبد القادر بن القرشية,99.99999999999997
18,محمد بن أبي بكر بن خليل الاعزازي,محمد بن أبي بكر بن خليل الاعزازي,99.99999999999997
19,الصلاح بن أبي عمر,الصلاح بن أبي عمر,99.99999999999997
21,ابن سعد,ابن سعد,100.00000000000003
22,ابن الوردي,ابن الوردي,100.00000000000003
23,مجير الدين الذهبي,مجير الدين الذهبي,99.99999999999999
24,شعبان العسقلاني,شعبان العسقلاني,100.00000000000003
26,محمد الثالث,محمد الثالث,100.00000000000003
0,أحمد بن محمد بن محمد الأبدي,أحمد بن محمد بن محمد الأبدي,100.0
1,محمد بن عبد الرحمن بن على بن أحمد,محمد بن عبد الرحمن بن على بن أحمد,100.00000000000004
0,أحمد بن على بن محمد بن على بن الحسن بن حمزة بن محمد بن ناصر بن على بن الحسين بن إسماعيل بن الحسين بن أحمد بن إسماعيل بن محمد بن إسماعيل بن جعفر الصادق بن محمد الباقر بن على زين العابدين بن الحسين بن على بن أبي طالب,احمد بن علي بن محمد بن علي بن الحسن بن حمزة بن محمد بن ناصر بن علي بن الحسين بن اسماعيل بن الحسين بن احمد بن اسماعيل بن محمد بن اسماعيل بن جعفر الصادق بن محمد الباقر بن علي زين العابدين بن الحسين بن علي بن ابي طالب الشهاب ابو العباس بن ابي هاشم بن الحافظ الشمس ابي المحاسن الحسيني الدمشقي الشافعي ,82.5366563916586
2,حمزة الآتي,العز حمزة ,40.8248290463863
3,أبي هريره بن الذهبي,ابي هريرة بن الذهبي ,42.85714285714285
4,ابن صديق,ابن صديق ,100.00000000000003
7,أبي اليسر ابن الصائغ,ابي اليسر ابن الصائغ ,77.15167498104596
8,زينب ابنة,زينب ابنة محمد بن محمد بن عثمان السكري ,37.79644730092272
0,إبراهيم بن أحمد بن خلف النبي,إبراهيم بن أحمد بن خلف النبي القاهري المالكي,87.44746321952064
0,سودون بن عبد الرحمن الظاهري رقوق,سودون بن عبد الرحمن الظاهري رقوق,100.00000000000003
2,قايتباي المحمدي,قايتباي المحمدي,100.00000000000003
4,المظفر بن المؤيد,المظفر بن المؤيد,99.99999999999999
5,الأشرف برسباي,الأشرف برسباي,100.00000000000003
0,أحمد بن موسى بن أحمد بن على بن عجيل الشهاب,احمد بن موسى بن احمد بن علي بن عجيل الشهاب اليمني بن ابي بكر ابن الشيخ اسماعيل بن ابراهيم المشرع  ,61.3290505892921
4,إبراهيم بن محمد بن أحمد العجيل الصحيحين,إبراهيم بن محمد بن أحمد العجيل,99.99999999999997
5,سليمان العلويثم,النفيس  سليمان العلوي,44.721359549995796
6,إسماعيل بن أبي بكر بن الشيخ,اسماعيل بن ابي بكر بن الشيخ اسماعيل بن ابراهيم الجبرتي ,51.502620262460475
0,أحمد بن محمد بن سالم بن محمد بن قاسم,أحمد بن محمد بن سالم بن محمد بن قاسم,100.0
1,ابن عبد الرحمن بن محمد بن إسماعيل الإمام,إبراهيم ابن عبد الرحمن بن محمد بن إسماعيل الإمام,94.59053029269174
2,موسى بن بلال المقرى,إبراهيم ابن موسى بن بلال المقرى ,79.77240352174657
0,عبد العزيز بن دانيال بن عبد العزيز بن على بن عثمان الاصبهاني,عبد العزيز بن دانيال بن عبد العزيز بن على بن عثمان الاصبهاني المكي العجمي,95.65007145952778
0,الصلاح الطرابلسي,ام الصلاح الطرابلسي,77.45966692414834
0,داود بن على بهاء الدين الكردي,داود بن على بهاء الدين الكردي الشافعي ,91.98662110078001
1,الزين أبي حفص الباريني,الزين أبي حفص الباريني,99.99999999999997
2,ابن خطيب,ابن خطيب الناصرية ,77.45966692414834
0,ضياء بن محمد الحاري الحوراني,ضياء بن محمد الحاري الحوراني الشافعي ,90.4534033733291
1,خضر الكردي,خضر الكردي,100.00000000000003
0,خضر بن على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله بن عمر ابن عبد الرحمن بن عبد الله أبو العباس الناشري,خضر بن على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله بن عمر ابن عبد الرحمن بن عبد الله أبو العباس الناشري,99.99999999999997
1,موفق الدين,القاضي موفق الدين ,77.45966692414834
0,رضوان بن هلال الأندلسي,رضوان بن هلال الأندلسي,99.99999999999997
0,أحمد بن محمد بن أحمد بن محمد بن أحمد الشهاب العروفي,احمد بن محمد بن احمد بن محمد بن احمد الشهاب العروفي الدمشقي الصالحي الحنبلي العروفي,59.51493073409092
1,الجمال الباعوني,الجمال الباعوني,100.00000000000003
3,ابن قندس,التقي ابن قندس,77.45966692414834
4,عبد الرحمن بن خليل الحرستاني,عبد الرحمن بن خليل الحرستاني,100.00000000000003
0,عبد الرحيم بن محمود بن محمد بن عبد الرحيم بن عبد الوهاب بن أحمد بن عقيل الزين بن البهاء بن المحيوي أبي المعالي السلمي البعلي,عبد الرحيم بن محمود بن محمد بن عبد الرحيم بن عبد الوهاب بن أحمد بن عقيل الزين بن البهاء بن المحيوي أبي المعالي السلمي البعلي الشافعي,99.17011013305202
0,أمير حاج بن المجد عبد الرحمن بن الجيعان,اينة أمير حاج بن المجد عبد الرحمن بن الجيعان,94.59053029269174
0,أحمد بن لاجين الظاهر جقمق,أحمد بن لاجين الظاهر جقمق,100.00000000000003
0,إبراهيم بن ثابت,إبراهيم بن ثابت,99.99999999999999
1,ابن عزم,ابن عزم,100.00000000000003
0,أحمد بن سعد الهندي,احمد بن سعد الهندي المكي ,62.99407883487119
2,ابن فهد,ابن فهد,100.00000000000003
1,العز عبد السلام البغدادي,العز عبد السلام البغدادي,99.99999999999997
2,ابن البلقيني,ابن البلقيني,100.00000000000003
0,أحمد بن القاضي,أحمد بن القاضي موفق الدين على بن أبي بكر بن على بن محمد بن أبي بكر بن عبد الله الشهاب أبو الفضل الناشري اليماني,46.88072309384954
3,عبد المجيد الآتي,عبد المجيد,86.60254037844388
7,عبد الله بن محمد الناشري,عبد الله بن محمد الناشري,100.00000000000003
8,على بن أحمد الجلاد,على بن أحمد الجلاد,99.99999999999997
9,العفيف الناشري,العفيف الناشري,100.00000000000003
11,أحمد بن أبي بكر الرداد,الشهاب أحمد بن أبي بكر الرداد,90.4534033733291
0,خاطر بن على بن ربيعه بن وحشي بن خليفة بن عمرو السرميني ,خاطر بن على بن ربيعه بن وحشي بن خليفة بن عمرو السرميني الشافعي ,97.75252199076785
0,أحمد بن مسعود المدني,أحمد بن مسعود المدني الخرية,88.19171036881967
0,عبد الرزاق بن محمد بن يوسف الزين الخليلي ,عبد الرزاق بن محمد بن يوسف الزين الخليلي الشافعي ,94.59053029269174
1,ابن المصري,ابن المصري,100.00000000000003
3,ابن حسان,ابن حسان,100.00000000000003
0,أحمد بن محمد بن الهائم,أحمد بن محمد بن الهائم,100.0
0,أحمد بن محمد بن أبي بكر بن محمد القسطلاني,أحمد بن محمد بن أبي بكر بن محمد القسطلاني,100.0
1,أبو بكر بن عبد الملك بن محمد بن أحمد,أبو بكر بن عبد الملك بن محمد بن أحمد,100.0
0,عبد الرحمن بن عبد الله بن عبد الرحمن بن محمد بن محمد بن شرف الزين ابن اللؤلؤي,عبد الرحمن بن عبد الله بن عبد الرحمن بن محمد بن محمد بن شرف الزين ابن اللؤلؤي الدمشقي الشافعي,97.36795920896915
2,أبي بكر الآتيين,التقي أبي بكر,77.45966692414834
3,ابن قاضي عجلون,ابن قاضي عجلون,99.99999999999999
4,الزين خطاب,الزين خطاب,100.00000000000003
6,البدر بن قاضي شهبه,البدر بن قاضي شهبه,99.99999999999997
7,العلاء بن بردس,العلاء بن بردس,99.99999999999999
11,الزيني بن مزهر,الزيني بن مزهر,99.99999999999999
12,الولوي البلقيني,الولوي البلقيني,100.00000000000003
0,داود بن موسى,داود بن موسى ابن على الغماري المالكي,62.01736729460423
0,شاهين العلائي,شاهين العلائي قطلوبغا الكركي ,65.46536707079773
2,يوسف سبط,الجمال يوسف,57.73502691896258
4,الظاهر ططر,الظاهر ططر,100.00000000000003
7,الأشرف اينال,الأشرف اينال,100.00000000000003
8,الناصر فرج,الناصر فرج,100.00000000000003
0,سليمان بن أرخن بك بن محمد كرشجي بن عثمان,سليمان بن أرخن بك بن محمد كرشجي بن عثمان,99.99999999999997
1,مراد بك,مراد بك,100.00000000000003
3,الأشرف برسباي,الأشرف برسباي,100.00000000000003
9,خوند شاه زاده,خوند شاه زاده,99.99999999999999
0,إسماعيل بن العجمي,إسماعيل بن العجمي,99.99999999999999
0,حسن بن محمد بن أحمد بن على بن محمد بن محمد بن على بن أحمد ابن البدر,حسن بن محمد بن احمد بن علي بن محمد بن محمد بن علي بن احمد ابن البدر ابن شيخنا ابن حجر ,75.97751336605076
0,أحمد بن سفري,احمد بن سفري الامام شهاب الدين ,40.45199174779452
2,برهان الدين,برهان الدين,100.00000000000003
3,يحيى بن فهد,يحيى بن فهد,99.99999999999999
0,صالح بن الجمال أبي النجا,صالح بن الجمال أبي النجا محمد بن البهاء أبي البقاء محمد بن أحمد علم الدين المكي الحنفي ,59.6284793999944
3,أبي القسم,أبي القسم محمد الآتي ,65.46536707079773
5,ابن الضيا,ابن الضيا,100.00000000000003
6,البرهان الكركي,البرهان الكركي,100.00000000000003
0,أرغون شاه السيفي,أرغون شاه السيفي,99.99999999999999
