"year","month","month_str","day","category","match","place","Truth"
827,,,,"birth","ولد في سنة سبع او ثمان وعشرين وثمانمائة بالخليل","الخليل",TRUE
90,8,"شعبان",19,"death"," مات في يوم الثلاثاء تاسع عشر شعبان سنة تسعين",,TRUE
