"year","month","month_str","day","category","match","place","Truth"
744,,,,"birth"," ولد تقريبا سنة اربع واربعين وسبعمائة",,TRUE
810,,,,"qaraa"," وحدت سمع منه الفضلاء وقرا عليه ابو الفتح بن صالح البخاري في سنة عشر وثمانمائة",,TRUE
12,12,"ذي الحجة",,," ووصفه بالعلامة وعبد الرحمن بن احمد النفطي وكذا التقي بن فهد في ذي الحجة سنة اثنتي عشرة بالمدينة","المدينة",TRUE
14,,,,," عليه جزءا فيه ثلاثة عشر حديثا موافقات من الموطا المذكور وعرض عليه الشمس محمد بن عبد العزيز الكازروني في سنة اربع عشرة",,TRUE
18,2,"صفر",,"death"," مات في صفر سنة ثمان عشرة بالمدينة","المدينة",TRUE
