0
محمد بن عمر بن أبي بكر بن أحمد الشمس الكناني
بني كنانة الطوخي
القاهري الشافعي
ابن الملقن
الشمس الغراقي
الفخر
محمد بن المعين قيم الكاملية
ابن الملقن
الشهاب الفرنوي
على
