"year","month","month_str","day","category","match","place","Truth"
803,,,,"birth"," ولد في سنة ثلاث وثمانمائة",,TRUE
53,2,"صفر",,"death"," واستمر على ذلك حتى مات في صفر سنة ثلاث وخمسين بالطاعون","الطاعون",TRUE
