"year","month","month_str","day","category","match","place","Truth"
,,,20,," عني بالعلم ثم لازم العبادة وتزهد وجاور بالحرمين ازيد من عشرين سنة",,FALSE
20,1,"محرم",,"death"," مات في مستهل المحرم سنة عشرين",,TRUE
,,,20,," وسكن الحرمين نحو عشرين سنة",,FALSE
