"year","month","month_str","day","category","match","place","Truth"
792,,,,"birth"," ولد سنة اثنتين وتسعين وسبعمائة",,TRUE
27,,,,"death"," ولي امامة الواثقية بزبيد ونظر المؤيدية بتعز ومات سنة سبع وعشرين",,TRUE
