0
يوسف بن خلد بن نعيم بن مقدم بن محمد بن حسن بن غانم
عليم بن محمد بن على الجمال أبو المحاسن الطائي
المالكي
الشمس
محمد الماضيين
سليمان
خليل بن إسحاق
يحيي الرهوني
ابن مرزوق
نور الدين الحلاوى
عمر بن عادل الحنبلي
القروي
ابن خلدون
الجمال البشبيشي
خليل البردة
بانت سعاد
ابن ملك
العيني
