"year","month","month_str","day","category","match","place","Truth"
729,,,,"birth"," ولد في سنة تسع وعشرين وسبعمائة",,TRUE
,,,,"istaqara"," الدرر وابنه صغير فرباه جسده المترجم ايضا في الدرر واستقرت خطابة بلده باسمه تبعا لسلفه فانها بيدهم منذ اربعمائة سنة",,FALSE
12,3,"ربيع الاول",,"death"," مات في ربيع الاول سنة اثنتي عشرة",,TRUE
