"year","month","month_str","day","category","match","place","Truth"
99,,,,," بن محمد بن محمد بن محمد برهان الدين ابو اسحاق بن العلم الزبيري النويري القاهري الشافعي المذكور ابوه في سنة تسع وتسعين",,"TRUE"
775,1,"محرم",,"birth"," ولد في المحرم سنة خمس وسبعين وسبعمائة",,"TRUE"
63,11,"ذي القعدة",17,"death"," مات في يوم الثلاثاء سابع عشري ذي القعدة سنة ثلاث وستين",,"TRUE"
