"year","month","month_str","day","category","match","place","Truth"
854,6,"جمادى الاخرة",,"birth"," ولد في جمادى الاخرة سنة اربع وخمسين وثمانمائة بمكة","مكة",TRUE
,,,,," وحضر دروس ابيه ثم اخيه وقدم القاهرة صحبة الامين الاقصرائي في سنة",,FALSE
97,,,,," وقد توجه للقاهرة بحرا في سنة سبع وتسعين",,TRUE
98,,,,," ورجع مع موسم سنة ثمان وتسعين",,TRUE
