"year","month","month_str","day","category","match","place","Truth"
789,9,"رمضان",5,"birth"," ولد في خامس رمضان سنة تسع وثمانين وسبعمائة بالسفح","السفح",TRUE
38,4,"ربيع الاخر",14,"death"," مات فجاة في سحر يوم الثلاثاء رابع عشر ربيع الاخر سنة ثمان وثلاثين",,TRUE
