"Automated","Manually","Truth"
"غزة","غزة",TRUE
"طرابلس","طرابلس",TRUE
"قرآ","قرآ يوسف ",TRUE
"بغداد","بغداد",TRUE
"ططر","ططر",TRUE
"الدوادارية","الدوادارية الكبرى ",TRUE
"الشام","الشام",TRUE
"القاهرة","القاهرة",TRUE
"اتابكيتها",,FALSE
"مصر","مصر",TRUE
"أمد","أمد",TRUE
"دمياط","دمياط",TRUE
"دمشق","دمشق",TRUE
"بخانقاه","خانقاه سرياقوس",TRUE
"سرياقوس",,FALSE
,"البلاد الشامية ",FALSE
,"الديار المصرية ",FALSE
