0
عبد الملك بن على بن على بن مبارك شاه بن أبي بكر بن مسعود بن محمد بن مسنونة
أمام الدين
أبي محمد
أبي
المكارم بن شهاب بن الملك الشرف الصديق البكري الساوجي النيريزي
القزويني الشيرازي
الأمين الاقصرائي
القلقشندي
أقام
قايتباي
عيسى بن شكر الله
يعقوب
يعقوب
عيسى
