"Automated","Manually","Truth"
"الله","الله",TRUE
,"القران","FALSE"
,"التنبيه","FALSE"
,"المنهاج الاصلي","FALSE"
,"الفية ابن مالك","FALSE"
,"الفقه","FALSE"
,"النحو","FALSE"
,"الصرف","FALSE"
,"تاريخ مكة","FALSE"
