year,month,month_str,day,category,match,place
797.0,,,,birth, ولد في سنة سبع وتسعين وسبعمائة بمكة,مكة
19.0,3.0,ربيع,,death, ومات في حياة ابيه بالقاهرة في الطاعون في ربيع الاول ظنا سنة تسع عشرة,
,,,20.0,, وجاء نعيه الى مكة فكثر الاسف عليه وسنه احدى وعشرون سنة,
