"Automated","Manually","Truth"
"مكة","مكة",TRUE
"مكة","مكة",TRUE
"القاهرة","القاهرة",TRUE
"القاهرة","القاهرة",TRUE
"المدينة","المدينة",TRUE
"مكة","مكة",TRUE
"القاهرة","القاهرة",TRUE
