"Automated","Manually","Truth"
"دمشق","دمشق","TRUE"
"القاهرة","القاهرة","TRUE"
"القاهرة","القاهرة","TRUE"
"الرجبية","الرجبية","TRUE"
"دمشق","دمشق","TRUE"
"دمشق","دمشق","TRUE"
"القاهرة","القاهرة","TRUE"
,"القاهرة","FALSE"
