year,month,month_str,day,category,match,place
829,2.0,صفر,12.0,birth, ولد في سحر يوم الاربعاء ثاني عشر صفر سنة تسع وعشرين وثمانمائة بمكة,مكة
45,,,,qaraa, ونشا فقرا القران والاربعين والمنهاج وعرض في سنة خمس واربعين,
88,12.0,ذي الحجة,18.0,death, ومات في ليلة الجمعة ثامن عشري ذي الحجة سنة ثمان وثمانين بمكة,مكة
