0
على بن موسى بن إبراهيم بن حصن مهملتين
نون بن خضر الدولة القرشي البلفيائي
الكتاني
محمد بن طريف المهملة
البرهان بن زقاعة
العلاء ابن نعامة
ابن طريف
المحب بن الفاسي
البدر العليمي
ابن زقاعة
الزين بن عياش
