year,month,month_str,day,category,match,place
777,,,,birth, ولد كما اخبرني به في سنة سبع وسبعين وسبعمائة,
3,,,,, بقي اديبها وحكويها الموصوف حتى كان يدخل لجمال الدين الاستادار فينشده وتردد معه الى الشام وحج مرارا اولها في سنة ثلاث,
60,3.0,ربيع الاول,,death, مات في ربيع الاول سنة ستين,
