"year","month","month_str","day","category","match","place","Truth"
829,,,,"birth"," ولد في سنة تسع وعشرين وثمانمائة",,TRUE
79,12,"ذي الحجة",1,"death"," مات في اول ذي الحجة سنة تسع وسبعين",,TRUE
8,,,,," وقيل سنة ثمان",,TRUE
