"Automated","Manually","Truth"
"الحرم","الحرم السلطانية",TRUE
"القلعة",,FALSE
"النيل","النيل",TRUE
"غراب","غراب",TRUE
"بحر المالح","بحر المالح",TRUE
,"الروم",FALSE
,"الروم",FALSE
,"رشيد",FALSE
,"رشيد",FALSE
