"year","month","month_str","day","category","match","place","Truth"
797,,,,"birth"," ولد في سنة سبع وتسعين وسبعمائة بمكة","مكة","TRUE"
19,3,"ربيع",,"death"," ومات في حياة ابيه بالقاهرة في الطاعون في ربيع الاول ظنا سنة تسع عشرة",,"TRUE"
,,,20,," وجاء نعيه الى مكة فكثر الاسف عليه وسنه احدى وعشرون سنة",,"FALSE"
