year,month,month_str,day,category,match,place
829,,,,birth, ولد في سنة تسع وعشرين وثمانمائة,
79,12.0,ذي الحجة,,death, مات في اول ذي الحجة سنة تسع وسبعين,
8,,,,, وقيل سنة ثمان,
