year,month,month_str,day,category,match,place
57,,,,, يسكن بملك له جوار سيدى ايوب الانصاري من الحسينية فنشات في خدمته يتيمة وتزوجها اخى عبد القادر في وسط سنة سبع وخمسين,
71,End of,اخر,,, واستولدها عدة اولاد تاخر منهم بعدهما بدر الدين محمد وجاورت معه في سنة احدى وسبعين,
92,,,,, ثم سافرت معه ايضا في سنة اثنتين وتسعين,
