"Automated","Manually","Truth"
"الدوادارية","الدوادارية الصغرى ",TRUE
"القاهرة","القاهرة",TRUE
"طرخانا",,FALSE
"دمشق","دمشق",TRUE
"قماش",,FALSE
"دمشق","دمشق",TRUE
,"باب الفراديس",FALSE
