"year","month","month_str","day","category","match","place","Truth"
750,,,,"birth"," العرابي بفتح اوله وتشديد ثانيه ورايته بخطه بكسر ثم تخفيف نسبه لقرية من ضواحي صفد المقدسي الشافعي ولد في سنة خمسين وسبعمائة",,"TRUE"
41,7,"رجب",,"death"," مات في رجب ظنا سنة احدى واربعين بالقدس","القدس","TRUE"
