"year","month","month_str","day","category","match","place","Truth"
807,5,"جمادى الاولى",,"birth"," ولد في جمادى الاولى سنة سبع وثمانمائة بالصالحية","الصالحية",TRUE
70,,,,"deatch","مات بعد السبعين ",,FALSE
