"year","month","month_str","day","category","match","place","Truth"
65,,,,"ijaza"," شهد في اجازة النوبي سنة خمس وستين",,TRUE
96,1,"محرم",,"death"," وانه مات في المحرم سنة ست وتسعين",,TRUE
