year,month,month_str,day,category,match,place
59,,,,birth, ولد سنة تسع وخمسين,
19,3.0,ربيع الاول,10.0,death, ذكره شيخنا في انبائه وقال مات يعني وهو قاض في عاشر ربيع الاول سنة تسع عشرة,
