"year","month","month_str","day","category","match","place","Truth"
782,,,,"birth"," ولد سنة اثنتين وثمانين وسبعمائة",,"TRUE"
48,"NaN","سلخ صفر او اول ربيع الاول",,"death"," مات بدمشق في سلخ صفر او اول ربيع الاول سنة ثمان واربعين","دمشق","TRUE"
