Automated,Manually,Truth
,سودون قرقاش,FALSE
,خازنداره,FALSE
,خازنداره,FALSE
,الدوادارية,FALSE
,الظاهرية,FALSE
,الخشقدمية,FALSE
,الدوادارية الكبرى,FALSE
