"year","month","month_str","day","category","match","place","Truth"
739,"NaN","NaN",,"birth"," ولد في العشر الاخير من جمادى الاولى او الاخرة سنة تسع وثلاثين وسبعمائة",,"TRUE"
7,9,"رمضان",,"death"," مات في رمضان سنة سبع",,"TRUE"
