year,month,month_str,day,category,match,place
744,,,,birth, ولدت في سنة اربع واربعين وسبعمائة,
800,,,,birth, عدة منهم الرضى محمد وام الحسن وفارقها فتزوجها والد التقي الفاسي وولدت له ام هانئ وطائفة ثم فارقها في سنة ثمانمائة,
24,,,,death, وتايمت حتى ماتت بمكة بعد ان اثكلت جميع بنيها وعظم المها بذلك في سنة اربع وعشرين,
