year,month,month_str,day,category,match,place
20,,,,birth, ولد في سنة عشرين بالبصرة,البصرة
54,,,,, وقدم مكة في سنة اربع وخمسين,
76,End of,اخر,,birth, دروس قاضيها البرهان وسافر غير مرة الى هرمز اخرها مع ولد له كبير ثم الى كنباية فغرقا في خورها سنة ست وسبعين,
