year,month,month_str,day,category,match,place
768.0,6.0,جمادى الثانية,20.0,birth, ولد كما بخطه اذان عصر يوم السبت العشرين من جمادى الثانية سنة ثمان وستين وسبعمائة,
58.0,,,,, وقال شيخنا انه اثبت محضرا يقتضي ان يكون سنة ثمان وخمسين,
,,,,death, ونحوه قول المقريزي انه مات عن نيف وثمانين سنة,
805.0,,,,, وحج في سنة خمس وثمانمائة,
,,,,, به الافاضل خصوصا في اقامته بمصر وهو المفتتح لقراءة تلخيص ابن ابي جمرة من البخاري عند ضريحه اول كل سنة,
44.0,12.0,ذي الحجة,14.0,death, مات في محل سكنه بالناصرية من بين القصرين يوم السبت رابع عشر ذي الحجة سنة اربع واربعين,
