year,month,month_str,day,category,match,place
781,10.0,شوال,13.0,birth, ولد في ليلة الاحد ثالث عشر شوال سنة احدى وثمانين وسبعمائة,
802,,,,samia, بالبساطي ايام مجاورته وبغلني انه اذن له في الفتيا وسمع من ابن صديق صحيح البخاري وكذا مسند عبد في سنة اثنتين وثمانمائة بقراءة,قراءة
90,,,,, منهم فيما ذكر القاضي ابو الفضل النويري بل كان يقول انه حضر مجلس ابن عرفة حين ورد عليهم حاجا سنة تسعين,
25,,,,, عقوده وقال انه برع في الادب وقال الشعر الجيد وشارك في عدة فنون وقدم علي بمكة لما حججت في سنة خمس وعشرين,
34,,,,, ولازمني مدة مجاورتي بها في سنة اربع وثلاثين,
37,,,,, وكان ابن قاضي شهبة يشكر حفظه ويقول انه لما حج في سنة سبع وثلاثين,
52,12.0,ذي الحجة,,death, يدل على فضل كبير واطلاع كثير ومات بمكة بعد ان كف سنين وتمرض باسهال مفرط في ليلة الاحد منتصف ذي الحجة سنة اثنتين وخمسين,
770,,,,birth, ولد تقريبا سنة سبعين وسبعمائة,
45,,,,, ودخل اسكندرية والصعيد وغيرهما واضر من سنة خمس واربعين,
52,3.0,ربيع الاول,,death, مات بالقاهرة في ربيع الاول سنة اثنتين وخمسين,
