year,month,month_str,day,category,match,place
9,,,,death, مات سنة تسع,
60,6.0,جمادى الاخرة,,death, مات في جمادى الاخرة سنة ستين,
24,,,,death, مات سنة اربع وعشرين بالصعيد,الصعيد
19,12.0,ذي الحجة,,death, مات مقتولا بالقاهرة وحشي جلده تبنا وحمل الى صفد في ذي الحجة سنة تسع عشرة,
26,5.0,جمادى الاولى,,death, ومات في جمادى الاولى سنة ست وعشرين بمكة,مكة
826,8.0,شعبان,19.0,birth, ولد في تاسع عشري شعبان سنة ست وعشرين وثمانمائة بدرب,درب
46,9.0,رمضان,,death, مات في رمضان سنة ست واربعين,
54,,,,birth, قتله ولده عبد اللطيف في سنة اربع وخمسين,
70,,,,death, مات قريبا من سنة سبعين,
92,,,,, وقد حج وجاور قليلا ثم رجع في موسم سنة اثنتين وتسعين,
97,,,,death, ومات في طاعون سنة سبع وتسعين,
780,,,,birth, ولد تقريبا سنة ثمانين وسبعمائة,
44,10.0,شوال,11.0,death, ثم مات في حادي عشري شوال سنة اربع واربعين,
53,,,,death, مات تقريبا سنة ثلاث وخمسين,
37,5.0,جمادى الاولى,,death, مات في جمادى الاولى سنة سبع وثلاثين,
