year,month,month_str,day,category,match,place
746,,,,birth, ولد سنة ست واربعين وسبعمائة,
68,,,,, ودرس في سنة ثمان وستين,
9,7.0,رجب,12.0,death, مات في بكرة يوم الجمعة ثاني عشر رجب سنة تسع,
55,,,,birth, كذلك لم تمض ثمانية ايام حتى مات وعد من كراماته رحمه الله وايانا وذكره شيخنا في انبائه وارخ مولده سنة خمس وخمسين,
45,,,,, واما العيني فقال انه في سنة خمس واربعين,
49,8.0,شعبان,,, والصواب ما قدمته سيما وقد نقل في المعجم انه كان في شعبان سنة تسع واربعين,
