year,month,month_str,day,category,match,place
758,7.0,رجب,17.0,birth, ولد في سابع عشر رجب سنة ثمان وخمسين وسبعمائة بالقاهرة,القاهرة
65,,,,death, صغره كثيرا لكن لما مات حصلت لهم كائنة فذهبت اثباته في جملة كتبه ثم ظفر الشهاب الكلوتاتي بسماعه لصحيح مسلم سنة خمس وستين,
82,,,,samia, وفي الاحياء ممن سمع منه الكثير وكذا سمع على التقي بن حاتم وعلى الزين العراقي سنة اثنتين وثمانين,
46,2.0,صفر,18.0,death, مات في ليلة الاربعاء ثامن عشر صفر سنة ست واربعين بالقاهرة,القاهرة
