year,month,month_str,day,category,match,place
54,2.0,صفر,,death, مات بمكة في صفر سنة اربع وخمسين,
782,,,,birth, ولد سنة اثنتين وثمانين وسبعمائة,
48,,,,death, مات مطعونا مبطونا في يوم تاسوعاء سنة ثمان واربعين بعد,عد
