year,month,month_str,day,category,match,place
825,11.0,ذي القعدة,,birth, ولد في ذي القعدة سنة خمس وعشرين وثمانمائة بحماة,حماة
52,,,,, وسلك طريق جده في الوعظ وحصل له قبول بين بعض العوام وكثير من النسوة وخطب بالاشرفية برسباي وحج في سنة اثنتين وخمسين,
98,,,,birth, في الميعاد زارني مرارا وتيمنت بدعائه وسافر هو وولده وعيالهما مع خوند زوجة الاتابك وابنة الظاهر الى مكة في سنة ثمان وتسعين,
