year,month,month_str,day,category,match,place
48.0,9.0,رمضان,10.0,death, مات بتونس في ليلة عاشر رمضان سنة ثمان واربعين,
55.0,,,,birth, مولده سنة خمس وخمسين,
82.0,5.0,جمادى الاولى,,death, مات بمكة في جمادى الاولى سنة اثنتين وثمانين,
819.0,9.0,رمضان,,birth, ولد في رمضان سنة تسع عشرة وثمانمائة,
88.0,,,,, وعدم تاهله وان ولاه قاضيا وبعده ساعده الشمس الامشاطي حتى باشرها مع امامة الصالحية وغيرها من الجهات وحج في سنة ثمان وثمانين,
59.0,,,,samia, ارتحل الى القاهرة فلازم شيخنا في البخاري ومقدمة شرحه وغير ذلك ثم سمع معنا في سنة تسع وخمسين بحلب,حلب
40.0,3.0,ربيع الاول,,death, ومات بمكة في ربيع الاول سنة اربعين,
42.0,,,,death, مات سنة اثنتين واربعين,
,5.0,جمادى الاولى,,death, مات في جمادى الاولى سنة,
96.0,1.0,محرم,,death, ومات بها في المحرم سنة ست وتسعين,
