year,month,month_str,day,category,match,place
751,,,,birth, ولد في سنة احدى وخمسين وسبعمائة,
50,,,,, وقيل سنة خمسين,
20,,,,death, مات بعد سنة عشرين,
38,12.0,ذي الحجة,,death, قلت قد مات ببلده في ليلة الثلاثاء مستهل ذي الحجة سنة ثمان وثلاثين,
