year,month,month_str,day,category,match,place
5,1.0,محرم,,birth, ولد في المحرم سنة خمس بابيات,ابيات
11,,,,, حسين وقدم مع والده لمكة في سنة احدى عشرة,
25,,,,, ودخل القاهرة في سنة خمس وعشرين,
56,1.0,محرم,5.0,death, مات بمكة في يوم الجمعة خامس المحرم سنة ست وخمسين,
33,,,,birth, وله اولاد احمد ومولده في المرحم سنة ثلاث وثلاثين,
35,,,,birth, وعمر ومولده في سنة خمس وثلاثين,
41,11.0,ذي القعدة,,birth, وابو بكر ومولده في ذي القعدة سنة احدى واربعين,
