year,month,month_str,day,category,match,place
747,8.0,شعبان,,birth, ولد في شعبان سنة سبع واربعين وسبعمائة,
45,,,,birth, بن الخشاب وعلى الزرندي وحدث سمع منه الائمة ولقيه شيخنا بعدن فاخذ عنه وذكره في معجمه وقال ان مولده سنة خمس واربعين,
17,,,,death, مات في سنة سبع عشرة ببعض,بعض
