year,month,month_str,day,category,match,place
812,,,,birth, ولد في حدود سنة اثنتي عشرة وثمانمائة بالقاهرة,القاهرة
10,,,,birth, في ذلك ولا يتمارى ووصفه البقاعي بالشيخ ابن الفاضل وقال الطبيب الحاذق ذو الفنون المجلد وانه ولد في حدود سنة عشرة,
99,,,,, وهو الان في سنة تسع وتسعين,
