year,month,month_str,day,category,match,place
746,11,ذي القعدة,,birth, ولد في ذي القعدة سنة ست واربعين وسبعمائة بالمدينة,المدينة
47,End of,اخر,,ijaza, المنعم بن احمد الانصاري والزين العراقي والبدر بن فرحون واخرين وقرا هو بنفسه علي الجمال الاميوطي واجاز له في سنة سبع واربعين,
783,,,,, وولي قضاء الحنفية بالمدينة بعد اخيه ابي الفتح في سنة ثلاث وثمانين وسبعمائة,
804,,,,death, واستمر الى ان مات الا انه عزل مرة في سنة اربع وثمانمائة,
17,3,ربيع الاول,,death, مات في ربيع الاول سنة سبع عشرة,
27,,,,, وفيها ارخه شيخنا وغيره واعاده شيخنا في سنة سبع وعشرين,
10,,,,, وهو سهو وكذا قوله كما في نسختي من معجمه سنة عشر,
