year,month,month_str,day,category,match,place
96,,,,death, السعي على صاحب الترجمة ويلتزم له بخمس محلقات او نحوها في كل يوم ووفى له بها حتى مات في اثناء سنة ست وتسعين,
7,2.0,صفر,,death, ومات في صفر سنة سبع,
