"place","enLabel","placeLabel","toponyms","geometry","typeLabel","country"
"Q91774307","El Hadji Bianou Mosque","جامع الحاج بيانو اغاديس","جامع الحاج بيانو اغاديس","Point(7.98993 16.972943)","mosque","Q1032"
"Q91774679","Abawagé Mosque","جامع اباواجي اغاديس","جامع اباواجي اغاديس","Point(7.993546 16.971948)","mosque","Q1032"
"Q3440333","Agadez Mosque","مسجد اغاديس","مسجد اغاديس","Point(7.98836 16.9742)","mosque","Q1032"
"Q279545","Niamey Grand Mosque","مسجد نيامي الكبير","مسجد نيامي الكبير","Point(2.1329 13.5221)","mosque","Q1032"
"Q3814679","Yamma Mosque","مسجد ياما","مسجد ياما","Point(5.499222222 14.359583333)","mosque","Q1032"
"Q4451415","Cathedral Basilica of the Holy Family","كاتدرائية بازيليكا العائلة المقدسة نيروبي","كاتدرائية بازيليكا العائلة المقدسة نيروبي","Point(36.82055556 -1.28694444)","Catholic cathedral","Q114"
"Q6146433","Jamia Mosque","مسجد جاميا","مسجد جاميا","Point(36.8207 -1.28337)","mosque","Q114"
"Q91621915","Riyadha Mosque","مسجد رياضة","مسجد رياضة","Point(40.901064 -2.270816)","mosque","Q114"
"Q1362222","Sacred Mijikenda Kaya Forests","غابات كايا ميجيكندا المقدسة","غابات كايا ميجيكندا المقدسة","Point(39.596111111 -3.931944444)","forest","Q114"
"Q6856865","El Mechouar Mosque","مسجد المشور","مسجد المشور","Point(-1.311292 34.8812347)","warehouse","Q262"
"Q12192958","Djamaa al-Djedid","المسجد الجديد","المسجد الجديد","Point(3.06301 36.7849)","mosque","Q262"
"Q48813977","Sidi Okba Mosque","مسجد سيدي عقبة","مسجد سيدي عقبة","Point(5.8996375 34.7490277)","mosque","Q262"
"Q1015167","Saint Augustin Basilica","بازيليكا القديس اوغسطينوس","بازيليكا القديس اوغسطينوس","Point(7.744722222 36.881944444)","minor basilica","Q262"
"Q2386475","Djamaa El Kebir","الجامع الكبير","المسجد الكبير بالجزائر العاصمة، الجامع الكبير","Point(3.064166666 36.785277777)","mosque","Q262"
"Q108321238","Uthman ibn Affan mosque of Batna","مسجد عثمان بن عفان  باتنة","مسجد حي بوزوران، مسجد عثمان بن عفان  باتنة","Point(6.196463952 35.544974235)","mosque","Q262"
"Q111306990","Thenia Cemetery","مقبرة الثنية","جبانة الغربة، مقبرة الثنية","Point(3.5564921 36.7201934)","cemetery","Q262"
"Q5600070","Ben Farès Mosque","معبد الجزائر العظيم","معبدالجزائر العظيم، معبد الجزائر العظيم","Point(3.05917 36.78407)","synagogue","Q262"
"Q2989371","Great Mosque of Tlemcen","المسجد الكبير","المسجد الكبير بتلمسان, المسجد الكبير لتلمسان, مسجد تلمسان الكبير، المسجد الكبير","Point(-1.31048 34.8837)","mosque","Q262"
