,index,value_counts
280,والصرغتمشية,5
295,والمنكوتمرية,5
294,بالفاضلية,5
292,الشفا,5
291,والصالحية,5
290,عين حنين,5
293,البرقية,5
288,الوزير,5
287,صالحيه,5
286,النبوية,5
285,بالطيبرسية,5
284,بحارة,5
283,بيت,5
282,بملطية,5
281,التربة,5
411,رابغ,4
407,سلطنة,4
408,باب المحروق,4
409,بالخانكاه,4
410,الخدام,4
413,بغا,4
412,بمردا,4
416,أسط,4
414,الباب الجديد,4
415,الخليج,4
405,رياسة,4
406,الأشقر,4
396,رباط ربيع,4
404,بردبك,4
402,والخازندارية,4
401,الركنية,4
400,قليوب,4
399,الزمام,4
398,القراسنقرية,4
397,طقزدمر,4
395,سكره,4
394,واو,4
393,س+ يواس,4
418,الحسبة,4
417,قارا,4
437,قلمطاي,4
419,شكار,4
432,بيرو,4
391,الحصن,4
442,الصبيبة,4
441,بالتكرور,4
440,قجماس,4
439,الشرب,4
438,بجاس,4
436,الشاطبية,4
435,بالجودرية,4
434,اشموم الرمان,4
433,بديروط,4
431,المليسا,4
420,الطبلخاناة,4
430,الشرابشية,4
429,المزهرية,4
428,البندقانيين,4
427,الطيبرسية,4
426,شقير,4
425,الباب,4
424,سر,4
423,رأس,4
422,خان الخليلي,4
421,السعادة,4
392,الحجار,4
403,الكاف,4
390,إسرائيل,4
364,حوش سعيد,4
362,جيم,4
361,الريدانية,4
360,عقبة,4
359,المسجد النبوي,4
358,فارسكور,4
357,المكارية,4
356,منية غمر,4
355,المثناة,4
354,الإسهال,4
353,باب الفرج,4
352,اللنك,4
351,بفيشا,4
350,الريف,4
349,المحلة الكبري,4
348,بخاري,4
347,قمن,4
345,تحتانية,4
344,سهام,4
343,تمامه,4
342,بكنباية,4
341,الجمادين,4
340,المملكة,4
389,كوكاي,4
363,الجركسي,4
346,الوراق,4
365,الدشت,4
378,بقوص,4
366,بني جابر,4
388,بالزمامية,4
387,الصاحب,4
386,القلندرية,4
384,شبيكة,4
383,بينبع,4
382,انبابة,4
381,باب القرافة,4
380,والمؤيدية,4
379,بكيلان,4
339,ادكو,4
385,المنية,4
377,الخواجا,4
371,الديار المصرية,4
367,بسرمين,4
376,المسجد الأقصى,4
368,الجعبري,4
370,رأس سويقه,4
369,الجيم,4
372,شبري,4
373,جبرين,4
374,بالايتمشية,4
375,البحر المالح,4
545,الإمامة,3
552,كنانة,3
546,والمجاهدية,3
547,بنى سويف,3
544,بالاقبغاوية,3
548,البغاددة,3
549,كمال,3
550,سفارة,3
551,بنها,3
556,بالخاتونية,3
553,زقاق,3
