"category","name","value_counts",,
"زاوية","الشيخ",22,27,81.4815
"رباط","الموفق",15,15,100
"رباط","السدرة",10,10,100
"زاوية","الحنفي",4,4,100
"رباط","الاثار",4,4,100
"رباط","الخوزي",4,4,100
"رباط","السلطان",4,5,80
"رباط","السيد",3,4,75
"زاوية","القادرية",3,3,100
"رباط","الظاهرية",3,3,100
,,,,93.6482
