"category","name","value_counts",,
"خانقاه","السرياقوسية",14,14,100
"خانقاه","الصلاحية",13,13,100
"خانقاه","البيبرسية",10,11,90.9091
"خانقاه","الناصرية",8,9,88.8889
"خانقاه","الشيخونية",5,5,100
"خانقاه","القوصونية",3,3,100
"رباط","الظاهرية",3,3,100
"زاوية","القادرية",3,3,100
"دير","اللحية",3,0,0
"خانقاه","السعيدية",3,3,100
,,,,87.9798
